Date,Open,High,Low,Close,Volume
1995-11-17,9.56247,9.59987,9.43748,9.45744,1227600
1995-11-20,9.45744,9.52495,9.1875,9.31238,1426399
1995-11-21,9.24999,9.30006,9.1875,9.19993,541600
1995-11-22,9.22993,9.36255,9.22502,9.35001,935999
1995-11-23,9.37509,9.475,9.35502,9.43748,680800
1995-11-24,9.43748,9.68756,9.40007,9.62496,752400
1995-11-27,9.605,9.68756,9.59987,9.67502,608001
1995-11-28,9.62998,9.65015,9.52495,9.59497,600799
1995-11-29,9.56759,9.72508,9.53258,9.58253,452001
1995-11-30,9.61253,10.00036,9.53258,9.83709,1112000
1995-12-01,9.87537,9.99512,9.7626,9.86294,1974401
1995-12-04,9.75006,9.75006,9.67502,9.70763,241601
1995-12-05,9.72508,9.72508,9.49997,9.64503,606799
1995-12-06,9.65015,9.67502,9.49997,9.49997,187200
1995-12-07,9.55756,9.62496,9.475,9.59987,534400
1995-12-08,9.59987,9.65015,9.54992,9.58744,219200
1995-12-11,9.58744,9.58744,9.41261,9.41261,158800
1995-12-12,9.46245,9.49997,9.43748,9.46998,284401
1995-12-13,9.475,9.475,9.31238,9.45002,486399
1995-12-14,9.42504,9.42504,9.32503,9.33768,215201
1995-12-15,9.33768,9.33768,9.12501,9.13744,436000
1995-12-18,9.00002,9.00002,8.77502,8.81254,428399
1995-12-19,8.75495,9.1875,8.75004,8.97493,732800
1995-12-20,9.00002,9.33768,9.00002,9.24509,277201
1995-12-21,9.1875,9.56247,9.1875,9.43748,679600
1995-12-22,9.43748,9.68756,9.43748,9.49997,207999
1995-12-27,9.43748,9.43748,9.29253,9.29253,186400
1995-12-28,9.24999,9.31238,9.22502,9.2874,72399
1995-12-29,9.37509,9.56247,9.37509,9.49997,109199
1996-01-02,9.49997,9.62496,9.37509,9.57501,335200
1996-01-03,9.59987,9.82477,9.56247,9.62496,359200
1996-01-04,9.68756,9.80012,9.68756,9.7626,154799
1996-01-05,9.68756,9.84963,9.56247,9.72508,172800
1996-01-08,9.72508,9.72508,9.65015,9.65015,110001
1996-01-09,9.71265,9.77492,9.68244,9.75006,220799
1996-01-10,9.72508,9.77492,9.62496,9.66248,211200
1996-01-11,9.56759,9.68756,9.56247,9.62496,26400
1996-01-12,9.71265,9.84963,9.7,9.81244,121999
1996-01-15,9.87537,9.93732,9.81244,9.93732,252401
1996-01-16,9.87537,10.31174,9.87537,10.29342,368400
1996-01-17,10.37532,10.47566,10.25045,10.47566,260400
1996-01-18,10.45058,10.51166,10.18675,10.25045,553201
1996-01-19,10.31174,10.38841,10.28807,10.37532,126401
1996-01-22,10.37532,10.71233,10.37532,10.50075,465999
1996-01-23,10.43749,10.52474,10.25045,10.4015,160399
1996-01-24,10.37532,10.43749,10.26975,10.38841,286799
1996-01-25,10.39823,10.56183,10.39823,10.44294,97600
1996-01-26,10.43749,10.57382,10.23005,10.25045,184800
1996-01-29,10.18675,10.18675,10.07518,10.12568,204399
1996-01-30,10.1753,10.56183,10.1753,10.56183,263600
1996-01-31,10.56183,10.68725,10.43749,10.53238,129199
1996-02-01,10.59564,10.63708,10.56183,10.56183,59999
1996-02-02,10.60109,10.62508,10.43749,10.57382,72399
1996-02-05,10.50075,10.53783,10.50075,10.53783,73600
1996-02-06,10.55092,10.66326,10.55092,10.63708,332800
1996-02-07,10.62508,10.66326,10.60109,10.62508,129199
1996-02-08,10.62508,10.97518,10.62508,10.87484,971199
1996-02-09,10.87484,11.09951,10.87484,11.0199,634800
1996-02-12,10.98827,11.18677,10.98827,11.03735,166000
1996-02-13,11.06243,11.25002,11.06243,11.06243,279199
1996-02-14,11.03735,11.03735,10.90756,10.90756,105200
1996-02-15,10.81267,10.90756,10.81267,10.85085,93599
1996-02-16,10.87484,11.13769,10.87484,10.97082,463601
1996-02-19,10.89993,10.98827,10.87484,10.93701,144800
1996-02-20,10.97518,11.00027,10.93701,10.96318,74000
1996-02-21,10.97082,11.35036,10.97082,11.31328,376400
1996-02-22,11.31328,11.66229,11.31328,11.47579,493999
1996-02-23,11.56195,11.87496,11.56195,11.69174,270399
1996-02-26,11.69828,11.73863,11.60012,11.62521,92799
1996-02-27,11.62521,11.62521,11.44198,11.49978,151601
1996-02-28,11.49978,11.87496,11.49978,11.87496,301999
1996-02-29,11.87496,12.08764,11.74954,11.78771,442001
1996-03-01,11.74954,12.32431,11.74954,12.05056,368799
1996-03-04,12.00148,12.46282,12.00148,12.31122,299199
1996-03-05,12.43774,12.48791,11.62521,11.77462,466800
1996-03-06,11.62521,11.85097,11.25002,11.4627,541201
1996-03-07,11.56195,12.43774,11.56195,12.32431,935999
1996-03-08,12.43774,12.87509,11.81171,12.48791,792399
1996-03-11,12.37557,12.37557,11.87496,12.07455,340400
1996-03-12,12.25015,12.42465,12.12472,12.12472,312000
1996-03-13,12.06256,12.06256,11.62521,11.98839,398400
1996-03-14,11.81171,12.06256,11.81171,11.85097,111200
1996-03-15,12.12472,12.6875,12.00148,12.43774,278000
1996-03-18,12.4999,12.99942,12.31122,12.81292,324000
1996-03-19,12.87509,13.06268,12.58825,12.58825,215201
1996-03-20,12.75075,12.75075,12.12472,12.62424,412000
1996-03-21,12.56207,12.62424,12.43774,12.47482,195600
1996-03-22,12.4999,12.99942,12.4999,12.99942,338800
1996-03-25,13.12594,13.62545,13.12594,13.3746,301601
1996-03-26,13.43786,13.50003,13.12594,13.12594,207200
1996-03-27,13.18701,13.50003,13.18701,13.3746,462801
1996-03-28,13.14884,13.42477,13.14884,13.24918,70399
1996-03-29,13.43786,13.68653,13.31135,13.43786,232000
1996-04-01,13.3746,13.47494,13.24918,13.3746,72399
1996-04-02,13.24918,13.68653,13.24918,13.3746,208800
1996-04-03,13.62545,13.62545,13.01251,13.08776,288001
1996-04-04,13.22518,13.22518,12.99942,13.22518,60401
1996-04-09,13.24918,13.43786,13.18701,13.29935,124798
1996-04-10,13.31135,13.31135,12.95034,13.13793,86400
1996-04-11,12.99942,12.99942,12.62424,12.62424,212799
1996-04-12,12.6875,12.87509,12.56207,12.62424,303998
1996-04-15,12.75075,12.99942,12.71258,12.88708,205200
1996-04-16,12.88708,13.24918,12.87509,13.0365,364000
1996-04-17,13.06268,13.52511,13.04959,13.45095,347200
1996-04-18,13.62545,13.75088,13.48803,13.56219,250800
1996-04-19,13.68653,13.87521,13.50003,13.57528,214399
1996-04-22,13.62545,14.56341,13.62545,14.56341,314401
1996-04-23,14.56341,14.61249,14.12497,14.31256,340000
1996-04-24,14.27439,14.37473,14.27439,14.27439,192801
1996-04-25,14.25039,14.31256,14.18823,14.31256,57200
1996-04-26,14.50015,14.50015,14.32456,14.37473,235200
1996-04-29,14.25039,14.33764,13.87521,14.12497,177601
1996-04-30,13.68653,14.66811,13.68653,14.54923,1147601
1996-05-02,14.62448,15.75003,14.54923,15.37485,402799
1996-05-03,15.18835,15.18835,14.50015,14.74555,852000
1996-05-06,14.99967,15.12618,14.87533,14.99967,48000
1996-05-07,15.12618,15.50027,14.73791,14.81317,342400
1996-05-08,15.12618,15.22543,14.43798,14.54923,257599
1996-05-09,14.81317,14.98658,14.68774,14.97458,119601
1996-05-10,14.92441,15.11309,14.87533,14.87533,342001
1996-05-13,14.87533,14.99967,14.72046,14.74991,36001
1996-05-14,15.03675,15.60061,14.99967,15.50027,581600
1996-05-15,15.50027,15.75003,14.87533,15.23852,735601
1996-05-17,14.99967,15.24943,14.68774,15.24943,374399
1996-05-20,15.18835,15.62461,14.76191,14.76191,222800
1996-05-21,14.99967,14.99967,14.80008,14.91242,121600
1996-05-22,14.99967,15.12618,14.82516,14.87533,111999
1996-05-23,15.11309,15.11309,14.37473,14.74991,246400
1996-05-24,14.12497,14.74991,14.12497,14.35073,121600
1996-05-28,14.56341,14.62448,14.06171,14.18823,172001
1996-05-29,13.93738,14.23731,13.83813,14.23731,245600
1996-05-30,14.12497,14.31256,13.87521,14.31256,306000
1996-05-31,14.18823,14.33764,14.18823,14.29947,222800
1996-06-03,14.18823,14.25039,14.18823,14.22422,32401
1996-06-04,14.25039,14.73791,14.25039,14.73791,244000
1996-06-05,14.74991,14.99967,14.68774,14.86988,204000
1996-06-06,15.33886,15.33886,15.23852,15.24943,39599
1996-06-07,14.97458,15.62461,14.74991,14.76191,465999
1996-06-10,15.12618,15.18835,14.87533,15.11309,193200
1996-06-11,15.12618,15.2876,15.03675,15.2876,158400
1996-06-12,15.10001,15.50027,15.10001,15.42611,292801
1996-06-13,15.24943,15.2876,14.99967,15.16217,198001
1996-06-14,14.99967,15.17526,14.62448,14.64957,523599
1996-06-17,15.06293,15.37485,15.06293,15.13709,105200
1996-06-18,15.18835,15.98779,15.18835,15.98779,529200
1996-06-19,15.99979,16.06305,15.65078,15.81329,195200
1996-06-20,15.96271,16.1623,15.85037,16.13721,260001
1996-06-21,16.25064,16.49931,16.12412,16.49931,241200
1996-06-24,16.62582,16.68799,16.49931,16.62582,131200
1996-06-25,16.55057,16.55057,16.12412,16.1503,200399
1996-06-26,16.25064,16.25064,15.75003,15.75003,115600
1996-06-27,15.93762,16.12412,15.50027,15.75003,88000
1996-06-28,15.87546,16.06305,15.84492,16.06305,34800
1996-07-01,16.12412,16.12412,15.88745,15.88745,102001
1996-07-02,15.93762,15.99979,15.56244,15.60061,116400
1996-07-03,15.62461,15.62461,15.24943,15.34977,238800
1996-07-04,15.50027,15.62461,15.26251,15.36176,100399
1996-07-05,15.31268,15.31268,14.99967,15.01276,225199
1996-07-08,14.81753,14.81753,14.68774,14.73791,75199
1996-07-09,14.85025,15.30723,14.62994,15.24943,211200
1996-07-10,15.37485,15.85037,15.37485,15.68787,384400
1996-07-11,15.87546,15.99979,15.62461,15.93762,204399
1996-07-12,15.66169,15.68787,14.99967,15.23852,234400
1996-07-15,15.24943,15.24943,14.68774,14.87533,270399
1996-07-16,14.43798,14.74991,14.0748,14.25039,447599
1996-07-17,14.37473,14.74991,14.12497,14.64957,410800
1996-07-18,14.74991,15.04984,14.74991,14.96368,170000
1996-07-19,15.06293,15.31268,14.87533,15.06293,187200
1996-07-22,14.9375,14.99967,14.74991,14.87533,210801
1996-07-23,14.9375,15.62461,14.62448,14.99967,78801
1996-07-24,14.62448,14.72592,14.00063,14.50015,150799
1996-07-25,14.62448,14.63757,14.32456,14.32456,43601
1996-07-26,14.31256,14.37473,14.12497,14.28748,106000
1996-07-29,14.31256,14.31256,14.13697,14.31256,21600
1996-07-30,14.31256,14.47507,14.26348,14.43798,60800
1996-07-31,14.38672,14.50015,14.31256,14.50015,66000
1996-08-01,14.50015,15.06293,14.50015,15.04984,203600
1996-08-02,15.06293,15.62461,15.06293,15.55044,320800
1996-08-05,15.47519,15.66169,15.24943,15.53736,161201
1996-08-06,15.56244,15.60498,15.33886,15.4621,48800
1996-08-07,15.62461,15.99979,15.50027,15.68787,584000
1996-08-08,15.55044,16.11322,15.33886,16.05432,473600
1996-08-09,15.93762,16.23755,15.6377,16.13721,360801
1996-08-12,16.02488,16.11758,15.91145,16.07505,128401
1996-08-13,16.06305,16.07505,15.88745,15.894,199199
1996-08-14,15.87546,15.87546,15.42611,15.68787,251600
1996-08-15,15.75003,15.75003,15.12618,15.31268,81601
1996-08-16,15.37485,15.62461,15.24943,15.48828,69600
1996-08-19,15.37485,15.50027,15.31268,15.48828,95599
1996-08-20,15.50027,15.65842,15.50027,15.60498,165599
1996-08-21,15.53736,15.56244,15.48828,15.50027,81601
1996-08-22,15.43811,15.50027,15.37485,15.50027,142399
1996-08-23,15.48828,15.62461,15.47519,15.50027,126800
1996-08-26,15.31268,15.31268,15.02475,15.02475,36001
1996-08-27,14.9375,15.75003,14.9375,15.68787,145199
1996-08-28,15.75003,15.89945,15.62461,15.89945,218402
1996-08-29,15.75003,15.85037,15.72495,15.81329,406800
1996-08-30,15.75003,16.12412,15.72495,15.93762,212000
1996-09-02,15.97471,16.21247,15.97471,16.11322,70000
1996-09-03,15.89945,15.93762,15.81329,15.88745,139200
1996-09-04,15.93762,16.06305,15.894,15.93762,210400
1996-09-05,15.89945,16.01288,15.81329,15.99979,159200
1996-09-06,15.98779,16.08813,15.81329,16.06305,130801
1996-09-09,16.12412,16.26264,16.11322,16.11322,288400
1996-09-10,16.20047,16.3139,16.17538,16.21247,318400
1996-09-11,16.25064,16.45023,16.1623,16.24301,112400
1996-09-12,16.28663,16.66181,16.28663,16.66181,362001
1996-09-13,16.68799,17.24967,16.68799,17.24967,647198
1996-09-16,17.24967,18.12437,17.24967,18.06329,658800
1996-09-17,18.12437,18.2498,17.12425,17.62485,770799
1996-09-18,17.3751,17.48852,16.56366,16.78397,668799
1996-09-19,16.77524,17.24967,16.72071,17.06317,361199
1996-09-20,17.24967,17.29984,16.87558,17.05008,132399
1996-09-23,16.99991,17.06972,16.68799,16.77524,86400
1996-09-24,16.81232,16.98792,16.74907,16.98792,62401
1996-09-25,16.87558,17.24967,16.87558,17.21259,357600
1996-09-26,17.18751,17.33801,17.14933,17.31293,140801
