Date,Open,High,Low,Close,Volume
1991-04-05,6.06509,6.06509,5.97497,6.02506,220001
1991-04-08,5.9999,6.0301,5.9999,6.02506,180000
1991-04-09,5.98492,5.99486,5.98492,5.98492,109999
1991-04-10,5.95004,5.97497,5.93003,5.96502,320000
1991-04-11,5.97497,5.97497,5.89995,5.96502,410001
1991-04-12,5.95004,6.015,5.95004,5.9999,340000
1991-04-15,5.9999,6.08511,5.9999,6.05503,310001
1991-04-16,6.07492,6.20004,6.06509,6.15006,800001
1991-04-17,6.22508,6.31497,6.20004,6.31497,810000
1991-04-18,6.32504,6.34014,6.16001,6.27506,990000
1991-04-19,6.24989,6.30011,6.22508,6.24989,730001
1991-04-22,6.15006,6.22508,6.15006,6.21502,240001
1991-04-23,6.23491,6.44009,6.22508,6.44009,470000
1991-04-24,6.42499,6.4299,6.40006,6.42499,390000
1991-04-25,6.45495,6.50013,6.45003,6.46489,650000
1991-04-26,6.50013,6.52506,6.47496,6.48491,299999
1991-04-29,6.51487,6.54507,6.47496,6.47496,410001
1991-04-30,6.45003,6.46993,6.32504,6.36003,400000
1991-05-02,6.37489,6.40006,6.35008,6.40006,150000
1991-05-03,6.40006,6.42499,6.36003,6.37489,180000
1991-05-06,6.30011,6.31497,6.24989,6.24989,360000
1991-05-07,6.30011,6.31497,6.18506,6.18997,670000
1991-05-08,6.16001,6.16001,6.09997,6.14,279999
1991-05-10,6.18002,6.18997,6.15006,6.15006,180000
1991-05-13,6.09997,6.14,6.09997,6.14,170000
1991-05-14,6.15006,6.15006,6.09002,6.09002,480001
1991-05-15,6.07492,6.10991,6.07492,6.09997,520000
1991-05-16,6.09997,6.16001,6.09997,6.16001,130000
1991-05-17,6.17499,6.18997,6.16001,6.16996,279999
1991-05-21,6.20004,6.28501,6.20004,6.28501,299999
1991-05-22,6.32504,6.40006,6.31005,6.36998,490000
1991-05-23,6.40006,6.44009,6.35008,6.37489,1029999
1991-05-24,6.37489,6.3949,6.35008,6.37489,990000
1991-05-27,6.40006,6.50013,6.39011,6.48491,2260000
1991-05-28,6.52506,6.535,6.42007,6.45003,1000000
1991-05-29,6.47999,6.50013,6.44009,6.44009,410001
1991-05-31,6.48491,6.50492,6.46489,6.46489,530000
1991-06-03,6.46489,6.46489,6.35008,6.39011,310001
1991-06-04,6.35008,6.37489,6.34493,6.34493,279999
1991-06-05,6.36998,6.44009,6.36003,6.4299,590001
1991-06-06,6.44009,6.47496,6.40006,6.42499,410001
1991-06-07,6.41,6.42499,6.40006,6.40006,170000
1991-06-10,6.40006,6.42499,6.37489,6.42499,160001
1991-06-11,6.44009,6.47496,6.41,6.47496,510000
1991-06-12,6.46489,6.46489,6.41,6.42499,770000
1991-06-13,6.44009,6.44009,6.36003,6.39011,369999
1991-06-14,6.40006,6.42499,6.37489,6.40006,369999
1991-06-17,6.42499,6.44009,6.23491,6.24989,730001
1991-06-18,6.23491,6.28009,6.20004,6.28009,570000
1991-06-19,6.21502,6.24989,6.20004,6.22508,1029999
1991-06-20,6.24498,6.3049,6.24498,6.27506,640000
1991-06-21,6.32504,6.41,6.30011,6.40006,1190000
1991-06-24,6.37489,6.40006,6.32504,6.34014,3090000
1991-06-25,6.31497,6.37489,6.28501,6.35008,2300000
1991-06-26,6.36003,6.40006,6.27506,6.27506,1669999
1991-06-27,6.27506,6.34014,5.85009,5.85992,1450000
1991-06-28,5.855,5.855,5.72509,5.81498,880000
1991-07-01,5.82504,5.855,5.82504,5.85009,329999
1991-07-02,5.89,5.89,5.78502,5.82504,570000
1991-07-03,5.82504,5.8399,5.81498,5.82001,310001
1991-07-04,5.8399,5.91001,5.8399,5.9051,420001
1991-07-05,5.92499,5.92499,5.88005,5.89995,270000
1991-07-08,5.85009,5.89,5.85009,5.8749,170000
1991-07-09,5.89995,5.95004,5.89491,5.95004,480001
1991-07-10,5.96502,6.03501,5.96502,6.0301,600000
1991-07-11,6.00996,6.10991,5.9999,6.09002,890001
1991-07-12,6.12501,6.15006,6.11507,6.14,800001
1991-07-15,6.13005,6.14,6.07492,6.07492,240001
1991-07-16,6.07492,6.09505,6.03501,6.03501,270000
1991-07-17,6.015,6.015,5.97497,5.98492,410001
1991-07-18,5.95004,5.97497,5.95004,5.97006,439999
1991-07-19,5.9999,6.00996,5.99007,5.99007,279999
1991-07-22,5.97497,5.9999,5.96502,5.9999,260000
1991-07-23,6.02506,6.02506,5.98,5.9999,1539999
1991-07-24,5.97497,6.02506,5.93997,5.93997,1160000
1991-07-25,5.95004,5.95004,5.91001,5.91001,279999
