Date,Open,High,Low,Close,Volume
2000-01-03,22.00034,23.67065,22.00034,23.67065,101401
2000-01-04,23.23071,23.26965,21.33095,21.33095,336900
2000-01-05,21.50041,21.50041,20.69946,20.99836,289201
2000-01-06,21.30043,22.12033,21.30043,21.86983,174899
2000-01-07,22.03086,22.32977,21.33095,22.32977,176101
2000-01-10,22.00034,22.83076,22.00034,22.66868,263700
2000-01-11,22.66868,22.66868,21.86983,21.88036,271500
2000-01-12,21.67091,21.82878,21.30043,21.72038,369600
2000-01-13,21.50041,22.16032,21.50041,22.16032,240599
2000-01-14,21.69933,22.83076,21.69933,22.57921,262200
2000-01-17,22.06875,23.3307,21.86983,23.3307,206401
2000-01-18,23.00021,23.17072,22.41924,22.66868,63600
2000-01-19,22.32977,23.3307,22.32977,23.30018,110099
2000-01-20,22.83076,23.00021,21.72038,22.12033,104398
2000-01-21,21.67091,22.00034,21.57092,21.80142,65400
2000-01-24,21.7288,21.82878,21.57934,21.62986,101700
2000-01-25,21.50041,21.7288,21.33095,21.33095,96901
2000-01-26,21.7288,22.66868,21.7288,22.50028,138300
2000-01-27,22.60026,22.77919,22.32977,22.66868,181201
2000-01-28,21.86983,22.66868,21.86983,22.66868,74100
2000-01-31,22.63079,22.66868,21.51935,21.51935,46501
2000-02-01,21.42042,22.66868,21.42042,22.66868,117300
2000-02-02,22.66868,22.66868,21.90035,22.32977,103199
2000-02-03,22.32977,22.89917,22.32977,22.64973,87301
2000-02-04,22.79919,22.83076,22.50028,22.66868,150000
2000-02-07,22.32977,22.83076,21.69933,22.40134,75900
2000-02-08,22.79919,23.32017,22.52133,22.66868,119400
2000-02-09,22.66868,23.00021,22.54974,22.57921,69599
2000-02-10,22.79919,25.33044,22.29925,25.33044,148800
2000-02-11,23.96956,24.83051,22.92022,24.83051,298200
2000-02-14,23.30018,24.17059,22.83076,23.67065,106201
2000-02-15,23.67065,24.67053,23.3307,23.93062,373800
2000-02-16,23.67065,24.32846,23.39911,24.12954,142499
2000-02-17,23.80011,23.80011,22.29925,22.41924,145500
