Date,Open,High,Low,Close,Volume
1991-04-05,7.92008,7.96006,7.86004,7.88994,275882
1991-04-08,7.81008,7.82005,7.78991,7.78991,146054
1991-04-09,7.82005,7.82005,7.62,7.6499,47331
1991-04-10,7.61003,7.61003,7.56008,7.58986,129826
1991-04-11,7.6499,7.71006,7.62,7.65999,260329
1991-04-12,7.6499,7.8299,7.62997,7.76001,390832
1991-04-15,7.81008,7.88994,7.81008,7.85007,244101
1991-04-16,7.82005,7.85007,7.82005,7.82005,96016
1991-04-17,7.88009,7.96006,7.88009,7.96006,390832
1991-04-18,7.96006,8.08002,7.9501,8.08002,260329
1991-04-19,8.05,8.21007,8.00005,8.09996,571372
1991-04-22,8.08999,8.15988,8.05997,8.05997,357700
1991-04-23,8.05,8.23997,8.05,8.22988,505782
1991-04-24,8.2599,8.29004,8.17993,8.17993,472650
1991-04-25,8.19998,8.28008,8.19002,8.19002,244101
1991-04-26,8.2599,8.29004,8.08002,8.09996,325919
1991-04-29,8.12998,8.19002,7.9501,7.98996,390832
1991-04-30,7.96006,8.01998,7.93004,8.01998,275882
1991-05-02,8.02995,8.02995,7.98,8.02995,244101
1991-05-03,8.05,8.12001,8.05,8.08002,390832
1991-05-06,8.05997,8.08002,8.05,8.05997,146054
1991-05-07,8.08002,8.08999,8.06994,8.06994,227197
1991-05-08,8.05997,8.05997,8.00005,8.00005,146054
1991-05-10,8.06994,8.06994,8.06994,8.06994,31104
1991-05-13,8.01998,8.02995,8.00005,8.02995,146054
1991-05-14,8.05,8.05,7.93004,7.93004,275882
1991-05-15,7.93004,7.9501,7.93004,7.9501,31104
1991-05-16,7.94001,8.14991,7.88994,7.90987,406385
1991-05-17,7.88994,7.88994,7.85007,7.85007,275882
1991-05-21,7.88009,8.00005,7.88009,8.00005,717428
1991-05-22,8.02995,8.05,7.98996,8.02995,684971
1991-05-23,8.08002,8.08002,7.98,8.02995,325919
1991-05-24,7.96006,8.05997,7.96006,8.02995,210969
1991-05-27,8.04004,8.04004,7.98996,8.01998,244101
1991-05-28,7.98,8.00005,7.98,7.98996,162283
1991-05-29,8.00005,8.01998,8.00005,8.00005,177835
1991-05-31,8.06994,8.12001,8.06994,8.10992,227197
1991-06-03,8.08999,8.32006,8.08999,8.21992,357700
1991-06-04,8.19002,8.32006,8.19002,8.2599,505782
1991-06-05,8.29989,8.45011,8.29989,8.39007,717428
1991-06-07,8.33003,8.49009,8.33003,8.39992,580839
1991-06-10,8.37998,8.45011,8.37998,8.43005,304281
1991-06-11,8.47989,8.50991,8.46992,8.47989,217053
1991-06-12,8.41,8.41,8.37998,8.37998,42598
1991-06-13,8.37998,8.39992,8.34996,8.39007,188653
1991-06-14,8.37998,8.41997,8.37998,8.41997,144702
1991-06-17,8.4399,8.4399,8.37998,8.39992,129826
1991-06-18,8.37998,8.37998,8.34996,8.36005,144702
1991-06-19,8.33003,8.33003,8.19998,8.19998,115626
1991-06-20,8.23997,8.26999,8.17008,8.17993,246129
1991-06-21,8.19998,8.23997,8.19998,8.23997,188653
1991-06-24,8.19998,8.19998,8.05997,8.05997,100750
1991-06-25,8.02995,8.08999,8.01002,8.05997,260329
1991-06-26,8.01002,8.01002,7.82005,7.8299,188653
1991-06-27,7.8401,7.8401,7.68016,7.74008,173777
1991-06-28,7.69001,7.69001,7.50004,7.57005,348233
1991-07-01,7.68016,7.76001,7.6499,7.66995,202853
1991-07-02,7.50004,7.54987,7.50004,7.54987,71675
1991-07-03,7.50989,7.58001,7.50004,7.50004,144702
1991-07-04,7.54987,7.56008,7.53006,7.56008,42598
1991-07-05,7.50989,7.54987,7.47999,7.47999,86550
1991-07-08,7.42007,7.42007,7.40013,7.42007,188653
1991-07-09,7.50004,7.54987,7.50004,7.54987,100750
1991-07-10,7.58001,7.62997,7.58001,7.62997,217053
1991-07-11,7.60018,7.62997,7.60018,7.62997,42598
1991-07-12,7.6499,7.76998,7.6499,7.76998,173777
1991-07-15,7.8401,7.92008,7.8401,7.92008,434784
1991-07-16,7.92008,7.96006,7.90002,7.90002,246129
1991-07-17,7.86989,7.86989,7.8401,7.85007,159577
1991-07-18,7.8401,7.8401,7.76998,7.78991,42598
1991-07-19,7.82005,7.8401,7.8,7.8299,115626
1991-07-22,7.76001,7.82005,7.76001,7.82005,86550
1991-07-23,7.8401,7.96006,7.8401,7.96006,304281
1991-07-24,7.98,8.10992,7.98,8.08002,711342
1991-07-25,8.10992,8.10992,8.04004,8.04004,333357
1991-07-26,8.05997,8.08999,7.98,8.01002,363110
1991-07-29,8.00005,8.01002,7.98996,8.01002,202853
1991-07-30,8.05,8.06994,7.98,8.04004,144702
1991-07-31,8.04004,8.08002,8.02995,8.02995,129826
1991-08-01,8.04004,8.05,8.02995,8.02995,173777
1991-08-02,8.00005,8.04004,7.96006,8.04004,159577
1991-08-05,8.05997,8.08999,8.05997,8.08999,115626
1991-08-06,8.08002,8.08002,8.05,8.05,56798
1991-08-07,8.08002,8.12998,8.08002,8.12001,290081
1991-08-08,8.12001,8.32006,8.10992,8.29004,740417
1991-08-09,8.29989,8.47989,8.29989,8.45011,958825
1991-08-12,8.39992,8.41,8.36005,8.36005,86550
1991-08-13,8.43005,8.53993,8.43005,8.53993,231254
1991-08-14,8.52011,8.52011,8.41,8.41,275205
1991-08-15,8.43005,8.50991,8.43005,8.47989,449661
1991-08-16,8.4399,8.49009,8.4399,8.45996,348233
1991-08-19,8.01002,8.01002,7.53006,7.56008,493612
1991-08-20,7.69001,7.85007,7.68016,7.8401,392185
1991-08-21,7.88009,8.33003,7.88009,8.33003,711342
1991-08-22,8.41,8.45996,8.37998,8.37998,421261
1991-08-23,8.34996,8.41,8.34996,8.39992,144702
1991-08-26,8.45996,8.47989,8.3699,8.3699,522688
1991-08-27,8.41,8.45996,8.33003,8.36005,392185
1991-08-28,8.39992,8.4399,8.37998,8.4399,275205
1991-08-29,8.49009,8.53993,8.45996,8.45996,363110
1991-08-30,8.4399,8.4399,8.4399,8.4399,13523
1991-09-02,8.43005,8.43005,8.43005,8.43005,13523
1991-09-03,8.45996,8.49009,8.45996,8.49009,246129
1991-09-04,8.45996,8.45996,8.41,8.41,144702
1991-09-05,8.39007,8.4399,8.39007,8.4399,86550
1991-09-06,8.46992,8.46992,8.43005,8.43005,115626
1991-09-09,8.39992,8.41,8.39992,8.41,27723
1991-09-10,8.36005,8.36005,8.28008,8.28008,246129
1991-09-11,8.32006,8.34996,8.32006,8.32006,100750
1991-09-12,8.33003,8.33003,8.32006,8.33003,100750
1991-09-13,8.36005,8.36005,8.33003,8.33003,129826
1991-09-16,8.29989,8.32006,8.26999,8.26999,71675
1991-09-17,8.23997,8.23997,8.17008,8.17008,188653
1991-09-18,8.19002,8.19002,8.01002,8.01002,463860
1991-09-19,8.00005,8.04004,8.00005,8.04004,159577
1991-09-20,8.04004,8.04004,7.9501,7.98,144702
1991-09-23,7.98,7.98,7.90987,7.96006,217053
1991-09-24,7.93004,7.98,7.93004,7.96006,100750
1991-09-25,8.00005,8.01998,7.9501,7.9501,363110
1991-09-26,7.92008,7.93004,7.8401,7.8401,159577
1991-09-27,7.85007,7.85007,7.8,7.82005,144702
1991-09-30,7.82005,7.82005,7.76001,7.76998,71675
1991-10-01,7.8401,7.8401,7.76998,7.76998,56798
1991-10-02,7.82005,7.82005,7.76998,7.78991,115626
1991-10-04,7.76998,7.76998,7.74008,7.74008,71675
1991-10-07,7.71006,7.72003,7.61003,7.61003,100750
1991-10-08,7.61003,7.64017,7.56008,7.56008,115626
1991-10-09,7.58001,7.58001,7.47002,7.50004,144702
