Date,Open,High,Low,Close,Volume
1991-04-05,33.79877,34.13042,33.7702,33.9913,267000
1991-04-08,33.79877,33.95031,33.79877,33.82858,179601
1991-04-09,34.02111,34.04968,33.44972,33.50065,199000
1991-04-10,33.24974,33.34911,33.02118,33.24974,194100
1991-04-11,33.20005,33.40004,32.89945,33.24974,286400
1991-04-12,33.29942,33.50065,33.09074,33.20005,218400
1991-04-15,33.5491,34.39996,33.48078,34.24967,368901
1991-04-16,34.34904,34.50058,34.04968,34.24967,422301
1991-04-17,34.72913,35.39989,34.66951,35.39989,684501
1991-04-18,35.45082,35.45082,34.66951,34.79869,233001
1991-04-19,34.65088,34.70056,34.39996,34.50058,368901
1991-04-22,34.02111,34.29935,34.00124,34.04968,334901
1991-04-23,34.10061,35.04836,34.10061,34.98998,456300
1991-04-24,34.95024,35.22972,34.75025,34.9788,364100
1991-04-25,35.09929,35.63093,35.09929,35.20115,601900
1991-04-26,35.22972,35.59863,35.15022,35.26947,242700
1991-04-29,35.55019,35.64956,35.25083,35.39989,257200
1991-04-30,35.13159,35.25083,34.79869,35.20115,276700
1991-05-02,35.30052,35.38126,35.18003,35.30052,281501
1991-05-03,35.25083,35.35021,34.95024,34.99992,252400
1991-05-06,34.90055,34.95024,34.79869,34.84962,155300
1991-05-07,35.04836,35.04836,34.79869,34.83099,116499
1991-05-08,34.70056,34.70056,34.45089,34.50058,247500
1991-05-10,34.83099,34.83099,34.75025,34.79869,92199
1991-05-13,34.50058,34.83099,34.50058,34.83099,140699
1991-05-14,34.77012,34.95024,34.29935,34.29935,412600
1991-05-15,34.29935,34.77012,34.20122,34.70056,480599
1991-05-16,34.59995,35.13159,34.59995,34.92042,529098
1991-05-17,34.97011,34.99992,34.75025,34.83099,441700
1991-05-21,34.99992,35.39989,34.95024,35.35021,436900
1991-05-22,35.49926,35.90048,35.25083,35.64956,577701
1991-05-23,35.8011,35.8806,35.58,35.8011,271800
1991-05-24,35.75018,36.25076,35.7303,36.25076,199000
1991-05-27,36.15015,36.60105,36.15015,36.4495,106801
1991-05-28,36.69918,36.79979,36.15015,36.74886,373799
1991-05-29,36.9004,37.0507,36.73023,36.76998,364100
1991-05-31,37.02089,38.05063,36.99977,37.79972,543701
1991-06-03,37.82953,37.9997,37.50036,37.55004,286400
1991-06-04,37.48048,37.60097,37.37863,37.40099,300900
1991-06-05,37.55004,38.309,37.55004,38.23074,388299
1991-06-06,38.25061,38.7512,37.87921,37.9997,436900
1991-06-07,37.9997,38.34999,37.9997,38.10031,339799
1991-06-10,37.85064,38.23074,37.73016,38.20093,247500
1991-06-11,38.44936,38.63071,38.16863,38.63071,480599
1991-06-12,38.59966,38.59966,37.95002,37.95002,412600
1991-06-13,38.02082,38.23074,37.97983,38.23074,300900
1991-06-14,38.34999,38.70027,38.3003,38.59966,262100
1991-06-17,38.65059,39.27042,38.65059,38.92013,407700
1991-06-18,39.099,39.3996,38.80088,39.34867,480599
1991-06-19,39.00087,39.14993,38.80088,38.80088,427199
1991-06-20,38.89901,39.27042,38.89901,39.099,563098
1991-06-21,39.34867,40.02067,39.34867,39.8505,679599
1991-06-24,39.75113,39.8505,39.20086,39.30023,461100
1991-06-25,39.20086,39.79957,39.1313,39.64927,723300
1991-06-26,39.75113,40.09023,38.34999,38.34999,786400
1991-06-27,38.39967,38.59966,37.95002,38.15,514499
1991-06-28,38.10031,38.10031,37.33019,37.50036,446600
1991-07-01,37.64942,37.73016,37.50036,37.64942,349500
1991-07-02,37.75003,37.75003,37.15007,37.40099,354300
1991-07-03,37.37863,37.73016,37.24945,37.40099,490299
1991-07-04,37.50036,37.95002,37.45067,37.60097,315500
1991-07-05,37.55004,37.60097,37.37863,37.45067,247500
1991-07-08,37.16995,37.26932,37.08051,37.24945,267000
1991-07-09,37.45067,37.67053,37.40099,37.60097,262100
1991-07-10,37.73016,37.79972,37.54011,37.6606,300900
1991-07-11,37.55004,37.70034,37.42086,37.60097,359200
1991-07-12,37.73016,37.85064,37.64942,37.70034,402901
1991-07-15,37.85064,37.91896,37.73016,37.82953,184400
1991-07-16,37.79972,37.82953,37.60097,37.60097,160201
1991-07-17,37.62954,37.62954,37.29913,37.45067,349500
1991-07-18,37.29913,37.29913,37.16995,37.24945,315500
1991-07-19,37.42086,37.45067,37.30907,37.35006,300900
1991-07-22,37.29913,37.45067,37.16995,37.40099,155300
1991-07-23,37.45067,37.57986,37.40099,37.45067,208700
1991-07-24,37.42086,37.42086,37.10039,37.15007,213601
1991-07-25,37.19852,37.19852,36.99977,37.02089,257200
1991-07-26,37.0507,37.08051,36.65073,36.65073,388299
1991-07-29,36.60105,36.60105,36.35137,36.55012,228100
1991-07-30,36.67061,36.74886,36.57993,36.62962,310600
1991-07-31,36.74886,36.76998,36.52031,36.52031,519400
1991-08-01,36.62962,36.73023,36.33026,36.39982,407700
1991-08-02,36.33026,36.39982,36.13027,36.33026,330101
1991-08-05,36.35137,36.60105,36.30045,36.55012,296101
1991-08-06,36.4495,36.62962,36.27064,36.33026,271800
1991-08-07,36.50043,36.8296,36.23958,36.74886,427199
1991-08-08,36.74886,36.98114,36.65073,36.85072,470900
1991-08-09,36.76998,37.29913,36.76998,37.22957,500000
1991-08-12,37.0507,37.19852,36.99977,37.08051,291200
1991-08-13,37.22957,37.69041,37.22957,37.62954,873801
1991-08-14,37.7699,37.79972,37.55004,37.55004,349500
1991-08-15,37.60097,37.64942,37.42086,37.48048,184400
1991-08-16,37.48048,37.55004,37.40099,37.52023,213601
1991-08-19,35.75018,35.99985,34.47946,34.75025,825199
1991-08-20,35.15022,35.26947,34.92042,35.15022,587400
1991-08-21,35.38126,36.95009,35.35021,36.79979,932000
1991-08-22,37.10039,37.36,37.10039,37.26062,553399
1991-08-23,37.12896,37.50036,37.10039,37.50036,383500
1991-08-26,37.50036,37.95002,37.45067,37.73016,388299
1991-08-27,37.70034,38.02082,37.48048,37.50036,480599
1991-08-28,37.57986,37.82953,37.55004,37.79972,310600
1991-08-29,37.91896,38.15,37.91027,37.91027,378599
1991-08-30,37.9997,37.9997,37.73016,37.75003,145601
1991-09-02,37.85064,37.99101,37.82953,37.87921,237800
1991-09-03,37.89909,37.9997,37.89909,37.89909,291200
1991-09-04,37.79972,37.85064,37.60097,37.60097,140699
1991-09-05,37.50036,37.62954,37.4308,37.60097,150400
1991-09-06,37.60097,37.60097,37.40968,37.52023,203800
1991-09-09,37.50036,37.55004,37.30907,37.33019,140699
1991-09-10,37.24945,37.26932,37.0507,37.12896,233001
1991-09-11,37.08051,37.33019,37.08051,37.15007,203800
1991-09-12,37.24945,37.33888,37.12896,37.22957,305800
1991-09-13,37.40968,37.45067,37.08051,37.11033,194100
1991-09-16,37.0507,37.10039,36.79979,36.88053,174699
1991-09-17,36.99977,36.99977,36.60105,36.62962,519400
1991-09-18,36.60105,36.74886,35.90048,35.99985,436900
1991-09-19,36.04953,36.08059,35.75018,35.94892,252400
1991-09-20,35.99985,35.99985,35.70049,35.84955,218400
1991-09-23,35.84955,35.92035,35.64956,35.77005,296101
1991-09-24,35.85949,35.99985,35.77999,35.92035,267000
1991-09-25,36.13027,36.27064,36.01848,36.10046,475700
1991-09-26,36.15015,36.15015,35.6595,35.68931,383500
1991-09-27,35.75018,35.75018,35.42101,35.63093,364100
1991-09-30,35.58,35.64956,35.16016,35.25083,310600
1991-10-01,35.39989,35.55019,35.22972,35.30052,538800
1991-10-02,35.33033,35.33033,34.95024,35.25953,519400
1991-10-04,35.11171,35.17134,34.95024,35.15022,402901
1991-10-07,34.95024,35.04836,34.70056,34.75025,368901
1991-10-08,34.66951,34.79869,34.50058,34.59001,485401
1991-10-09,34.65088,34.65088,34.02111,34.09067,616500
1991-10-10,34.04968,34.10061,33.66958,33.91925,873801
1991-10-11,34.13042,34.15029,33.73045,33.79877,635900
1991-10-14,33.70064,33.89938,33.65095,33.82858,412600
1991-10-15,34.00124,34.20122,33.95031,34.10061,742700
1991-10-16,34.24967,34.24967,33.73045,33.75032,558201
