Date,Open,High,Low,Close,Volume
1991-04-05,29.16456,29.42205,29.09049,29.25509,503552
1991-04-08,29.11753,29.30095,29.06345,29.23863,471647
1991-04-09,29.30095,29.43969,29.16456,29.20924,545876
1991-04-10,29.09049,29.16456,28.9153,29.03405,482282
1991-04-11,29.02582,29.14575,28.9153,29.11753,381572
1991-04-12,29.1916,29.62428,29.11753,29.39383,879805
1991-04-15,29.56079,29.92998,29.56079,29.85473,567148
1991-04-16,29.83827,29.83827,29.64309,29.69953,439848
1991-04-17,29.94644,30.26977,29.87354,30.24273,773778
1991-04-18,30.33561,30.50022,29.76184,29.83827,689020
1991-04-19,29.71599,29.73598,29.42205,29.48554,609473
1991-04-22,29.07168,29.1916,28.96116,28.96116,535350
1991-04-23,29.02582,29.46908,29.02582,29.42205,588310
1991-04-24,29.46908,29.62428,29.34798,29.42205,582993
1991-04-25,29.5314,29.99347,29.50553,29.71599,667859
1991-04-26,29.67013,30.02051,29.62428,29.62428,455801
1991-04-29,29.85473,30.17688,29.85473,29.96642,588310
1991-04-30,29.85473,29.85473,29.62428,29.75361,561830
1991-05-02,29.80887,30.38146,29.80887,30.34267,1208526
1991-05-03,30.29681,30.54607,30.29681,30.32503,715500
1991-05-06,30.22391,30.31562,30.15925,30.26977,211947
1991-05-07,30.36148,30.36148,30.22391,30.26036,397525
1991-05-08,30.19687,30.19687,29.79947,29.90058,429324
1991-05-10,30.02051,30.13103,29.99347,30.08518,190785
1991-05-13,29.76184,29.99347,29.76184,29.90058,450485
1991-05-14,29.94644,30.03932,29.69953,29.69953,741980
1991-05-15,29.67013,29.79124,29.62428,29.76184,206630
1991-05-16,29.67013,29.96642,29.64309,29.94644,408052
1991-05-17,29.99347,30.01228,29.87354,29.87354,620109
1991-05-21,29.94644,30.65659,29.94644,30.65659,922239
1991-05-22,30.82355,31.19156,30.81297,31.00697,954037
1991-05-23,31.09985,31.31149,30.45436,30.45436,1144822
1991-05-24,30.36148,30.76711,30.36148,30.71185,1007106
1991-05-27,30.68481,30.82355,30.63895,30.71185,270226
1991-05-28,30.77652,30.96111,30.5931,30.88704,694337
1991-05-29,31.09985,31.19156,30.82355,30.82355,545876
1991-05-31,31.09985,31.37615,31.054,31.2186,561830
1991-06-03,31.19156,31.34676,31.0246,31.09985,492917
1991-06-04,31.00697,31.09985,30.91526,30.91526,429324
1991-06-05,31.0246,31.54193,31.00697,31.47609,614790
1991-06-06,31.51372,31.83587,31.3303,31.44905,795049
1991-06-07,31.42201,31.63364,31.37615,31.37615,609473
1991-06-10,31.3303,31.46786,31.1457,31.37615,519398
1991-06-11,31.51372,31.55957,31.37615,31.51372,508761
1991-06-12,31.4855,31.4855,30.84941,30.8694,736773
1991-06-13,30.91526,30.96111,30.71185,30.8694,567148
1991-06-14,30.96111,31.0246,30.84941,30.91526,328611
1991-06-17,31.00697,31.1457,30.75771,30.75771,450485
1991-06-18,30.77652,30.79533,30.5931,30.77652,487600
1991-06-19,30.5931,30.5931,30.17688,30.19687,349774
1991-06-20,30.26977,30.38852,30.25096,30.33561,344456
1991-06-21,30.45436,30.82355,30.40851,30.82355,286178
1991-06-24,30.71185,30.75771,30.27917,30.33561,402842
1991-06-25,30.22391,30.36148,30.12162,30.19687,715500
1991-06-26,30.29681,30.31562,29.71599,29.71599,482282
1991-06-27,29.76184,29.85473,29.50553,29.71599,556512
1991-06-28,29.67013,29.69953,28.96116,29.07168,911605
1991-07-01,29.20924,29.25509,28.93411,28.96116,567148
1991-07-02,29.07168,29.09049,28.42736,28.62959,694337
1991-07-03,28.51907,28.65781,28.33565,28.33565,461119
1991-07-04,28.45441,28.61196,28.42736,28.58256,503552
1991-07-05,28.61196,28.61196,28.19692,28.31567,365726
1991-07-08,28.15106,28.18751,28.03936,28.16752,312660
1991-07-09,28.33565,28.73071,28.33565,28.70367,795049
1991-07-10,28.73071,28.96116,28.68485,28.96116,773778
1991-07-11,28.88826,29.01759,28.7507,28.89649,874488
1991-07-12,29.04346,29.14575,28.9882,29.02582,598945
1991-07-15,29.14575,29.25509,29.12694,29.1916,492917
1991-07-16,29.16456,29.1916,28.96116,28.97997,307340
1991-07-17,28.96116,28.97997,28.77656,28.97997,455801
1991-07-18,28.86004,28.86004,28.79655,28.8424,328611
1991-07-19,28.97997,29.02582,28.88826,28.9153,333931
1991-07-22,28.86004,28.96116,28.77656,28.96116,365726
1991-07-23,28.97997,29.1093,28.93411,28.96116,625425
1991-07-24,28.93411,28.96116,28.68485,28.7507,572357
1991-07-25,28.77656,28.79655,28.61196,28.65781,439848
1991-07-26,28.65781,28.7507,28.51907,28.5661,413369
1991-07-29,28.54611,28.58256,28.45441,28.5661,349774
1991-07-30,28.68485,28.96116,28.65781,28.93411,710184
1991-07-31,29.00701,29.23863,28.93411,29.11753,895760
1991-08-01,29.27508,29.48554,29.25509,29.32094,699657
1991-08-02,29.25509,29.57843,29.14575,29.5314,593627
1991-08-05,29.56079,29.64309,29.48554,29.60664,386888
1991-08-06,29.48554,29.62428,29.42205,29.48554,413369
1991-08-07,29.64309,30.10516,29.62428,30.08518,795049
1991-08-08,30.08518,30.26977,29.99347,30.10516,821529
1991-08-09,30.03932,30.25096,29.99347,30.10516,551195
1991-08-12,29.99347,30.16748,29.94644,30.03932,317977
1991-08-13,30.17688,30.54607,30.17688,30.54607,646587
1991-08-14,30.61897,30.63895,30.50022,30.50022,816212
1991-08-15,30.52726,30.5931,30.40851,30.52726,651905
1991-08-16,30.50022,30.54607,30.38852,30.52726,657224
1991-08-19,29.02582,29.80887,27.18224,27.43268,1871067
1991-08-20,27.99351,28.26981,27.78187,28.01232,853326
1991-08-21,28.26981,29.96642,28.15106,29.80887,1929344
1991-08-22,29.96642,30.17688,29.85473,29.90058,1033585
1991-08-23,29.80887,30.10516,29.80887,30.08518,556512
1991-08-26,30.08518,30.38852,30.08518,30.25096,630743
1991-08-27,30.22391,30.40851,29.99347,29.99347,588310
1991-08-28,30.03932,30.15925,29.94644,30.10516,471647
1991-08-29,30.26977,30.36148,30.02991,30.02991,832164
1991-08-30,30.12162,30.13103,29.94644,29.96642,238428
1991-09-02,30.06754,30.18747,30.06754,30.17688,355092
1991-09-03,30.22391,30.31562,30.19687,30.25096,588310
1991-09-04,30.17688,30.19687,30.08518,30.15925,317977
1991-09-05,30.08518,30.25096,30.03932,30.19687,344456
1991-09-06,30.22391,30.23332,30.13103,30.15925,333931
1991-09-09,30.16748,30.17688,29.76184,29.83827,286178
1991-09-10,29.76184,29.76184,29.43969,29.64309,476963
1991-09-11,29.60664,29.79124,29.56079,29.69953,307340
1991-09-12,29.69953,29.87354,29.67013,29.80887,418687
1991-09-13,29.93703,30.02051,29.77242,29.81828,551195
1991-09-16,29.87354,29.90058,29.64309,29.71599,323294
1991-09-17,29.85473,29.87354,29.69953,29.76184,254381
1991-09-18,29.79124,29.85473,29.44909,29.50553,291495
1991-09-19,29.5314,29.60664,29.43969,29.56079,243746
1991-09-20,29.56079,29.56079,29.39383,29.5314,249063
1991-09-23,29.56079,29.60664,29.48554,29.57843,317977
1991-09-24,29.57843,29.80887,29.56079,29.77242,429324
1991-09-25,29.80887,29.87354,29.69012,29.69953,386888
1991-09-26,29.71599,29.71599,29.5314,29.56079,312660
1991-09-27,29.57843,29.59724,29.43969,29.59724,386888
1991-09-30,29.56079,29.59724,29.42205,29.48554,381572
1991-10-01,29.57843,29.71599,29.56079,29.64309,741980
1991-10-02,29.67013,29.76184,29.5314,29.76184,667859
1991-10-04,29.63369,29.76184,29.5314,29.73598,487600
1991-10-07,29.57843,29.71599,29.50553,29.56079,418687
1991-10-08,29.48554,29.63369,29.46908,29.5314,535350
1991-10-09,29.57843,29.57843,29.20924,29.30095,689020
1991-10-10,29.20924,29.41264,29.00701,29.32094,747298
1991-10-11,29.43969,29.50553,29.32094,29.42205,593627
1991-10-14,29.3762,29.4585,29.32094,29.43969,339138
1991-10-15,29.56079,29.69953,29.56079,29.69953,736773
1991-10-16,29.73598,29.76184,29.42205,29.46908,445167
1991-10-17,29.50553,29.56079,29.31153,29.34798,471647
1991-10-18,29.43969,29.44909,29.27508,29.43969,360408
1991-10-21,29.48554,29.64309,29.42205,29.49495,582993
1991-10-22,29.50553,29.76184,29.46908,29.63369,434641
1991-10-23,29.69953,29.90058,29.69953,29.79124,736773
1991-10-24,29.83827,29.87354,29.57843,29.57843,657224
1991-10-25,29.57843,29.67013,29.5314,29.62428,519398
1991-10-28,29.62428,29.85473,29.56079,29.83827,588310
1991-10-29,29.92998,30.09458,29.92998,29.99347,1123661
1991-10-30,30.08518,30.17688,29.95702,30.02051,911605
1991-10-31,30.03932,30.03932,29.90058,29.94644,445167
1991-11-01,29.94644,29.96642,29.79124,29.85473,386888
1991-11-04,29.80887,29.99347,29.79124,29.83827,455801
1991-11-05,29.85473,30.06754,29.83827,30.03932,975199
1991-11-06,29.99347,30.08518,29.95702,29.95702,715500
1991-11-07,29.99347,30.26036,29.96642,30.25096,975199
1991-11-08,30.40851,30.95171,30.40851,30.9423,1918710
1991-11-11,30.93172,31.09985,30.64836,30.75771,1393995
1991-11-12,30.91526,31.1457,30.91526,30.96111,1372832
1991-11-13,31.00697,31.0246,30.65659,30.71185,1118343
1991-11-14,30.82355,30.8694,30.69422,30.84941,720820
1991-11-15,30.88704,30.9423,30.77652,30.82355,752616
1991-11-18,29.99347,30.39793,29.85473,30.31562,1383359
1991-11-19,30.38852,30.38852,29.92998,29.92998,747298
1991-11-21,30.13103,30.51903,30.03932,30.50022,1187255
1991-11-22,30.54607,30.73066,30.45436,30.50962,1473543
1991-11-25,30.45436,30.55665,30.38852,30.52726,842690
1991-11-26,30.61897,30.96111,30.61897,30.8694,1484070
1991-11-27,30.98815,31.0246,30.5931,30.65659,943401
1991-11-28,30.5931,30.68481,30.52726,30.65659,561830
1991-11-29,30.5931,30.5931,30.13103,30.22391,1219053
1991-12-02,29.90058,29.93703,29.67013,29.90058,943401
1991-12-03,30.08518,30.16748,29.90999,30.06754,874488
1991-12-04,30.17688,30.56488,30.10516,30.15925,1643167
1991-12-05,30.22391,30.31562,30.06754,30.22391,858644
1991-12-06,30.13103,30.22391,30.03932,30.14161,673068
1991-12-09,30.06754,30.15925,30.06754,30.12162,476963
1991-12-10,29.99347,30.04873,29.80887,29.83827,763250
1991-12-11,29.79124,29.96642,29.71599,29.92998,662540
1991-12-12,29.99347,30.16748,29.85473,30.15925,821529
1991-12-13,30.29681,30.36148,30.25096,30.26977,678386
1991-12-16,30.33561,30.33561,30.13103,30.16748,508761
1991-12-17,30.13103,30.50022,30.13103,30.45436,556512
1991-12-18,30.45436,30.75771,30.45436,30.68481,620109
1991-12-19,30.68481,30.73066,30.26977,30.42732,646587
1991-12-20,30.45436,30.4814,30.25096,30.29681,487600
1991-12-23,30.26977,30.26977,30.15925,30.15925,233220
1991-12-27,30.68481,30.77652,30.4814,30.77652,614790
1991-12-30,30.8694,30.93172,30.82355,30.93172,355092
1992-01-02,31.3303,31.61483,31.24682,31.34676,874488
1992-01-03,31.46786,31.65245,31.4126,31.4855,715500
1992-01-06,31.55957,31.69831,31.42201,31.44905,498235
1992-01-07,31.44905,31.47609,31.07986,31.18215,996470
1992-01-08,31.11631,31.11631,30.79533,30.9423,1314447
1992-01-09,30.96111,31.34676,30.96111,31.3303,1213736
1992-01-10,31.28444,31.60542,31.28444,31.51372,1256170
1992-01-13,31.37615,31.92876,31.37615,31.69831,1606050
1992-01-14,31.69831,31.90994,31.69831,31.74416,1293284
1992-01-15,31.97461,32.34262,31.95697,32.17684,1235007
1992-01-16,32.30617,32.32499,31.8829,32.01929,1256170
1992-01-17,32.11217,32.29677,32.01929,32.10277,991153
1992-01-20,32.15803,32.57307,32.03928,32.57307,1786201
1992-01-21,32.71181,32.73062,32.40729,32.55426,1531821
1992-01-22,32.39788,32.75766,32.34262,32.48018,1950507
1992-01-23,32.66478,32.75766,32.20388,32.36143,1802154
1992-01-24,32.11217,32.34262,32.01929,32.26972,1362197
1992-01-27,32.29677,32.70123,32.29677,32.59188,1272123
1992-01-28,32.71181,32.73062,32.4261,32.57307,1579572
1992-01-29,32.66478,32.68477,32.11217,32.23328,1441746
1992-01-30,32.03928,32.38848,31.97461,32.34262,1325082
1992-01-31,32.43433,32.48018,32.29677,32.37202,954037
1992-02-03,32.38848,32.71181,32.27913,32.37202,1568936
1992-02-04,32.29677,32.32499,32.15803,32.29677,901077
1992-02-05,32.40729,32.47195,32.26032,32.37202,969992
1992-02-06,32.40729,32.63891,32.17684,32.33439,1028268
1992-02-07,32.34262,32.40729,32.24974,32.38848,620109
1992-02-10,32.24974,32.34262,32.20388,32.34262,524716
1992-02-11,32.38848,32.43433,32.26972,32.29677,620109
1992-02-12,32.29677,32.34262,32.11217,32.34262,768569
1992-02-13,32.40729,32.46372,32.29677,32.32499,715500
1992-02-14,32.24974,32.34262,32.20388,32.29677,710184
1992-02-17,32.37202,32.52721,32.24974,32.52721,810895
1992-02-18,32.50017,32.75766,32.50017,32.73062,1452272
1992-02-19,32.693,32.8235,32.62833,32.71181,1542456
1992-02-20,32.75766,33.09863,32.75766,33.09863,2088334
1992-02-21,33.1727,33.21856,33.04337,33.04337,1102498
1992-02-24,33.07982,33.38316,33.06218,33.31027,1282648
1992-02-25,33.32908,33.39374,32.98811,33.01633,1033585
1992-02-26,33.09863,33.58774,33.0904,33.5219,1547666
1992-02-27,33.6336,33.67945,33.44901,33.48545,932874
1992-02-28,33.43019,33.75235,33.42079,33.67005,1860432
1992-03-02,33.67945,33.77234,33.61361,33.67005,1250853
1992-03-03,33.6336,33.97339,33.58774,33.87228,1081228
1992-03-04,33.97339,34.1862,33.86405,33.9828,2374620
1992-03-05,33.9828,34.03923,33.83465,33.87228,1362197
1992-03-06,33.81819,33.84523,33.40315,33.4396,1065384
1992-03-09,33.40315,33.65123,33.32085,33.6336,1033585
1992-03-10,33.7065,33.7982,33.61361,33.69709,1266804
1992-03-11,33.64183,33.64183,33.48545,33.49486,810895
1992-03-12,33.44901,33.44901,33.31027,33.3573,805685
1992-03-13,33.40315,33.44901,33.3573,33.3573,636061
1992-03-16,33.31027,33.31027,33.09863,33.12685,699657
1992-03-17,33.1727,33.31027,33.15272,33.29145,636061
1992-03-18,33.3667,33.43019,33.27382,33.27382,885125
1992-03-19,33.31027,33.31027,33.19975,33.21856,492917
1992-03-20,33.26441,33.42079,33.1727,33.29145,514080
1992-03-23,33.32908,33.32908,32.85878,32.86936,943401
1992-03-24,32.92344,32.94226,32.693,32.89523,1860432
1992-03-25,32.96107,32.9693,32.83173,32.96107,954037
1992-03-26,32.92344,33.01633,32.86936,32.86936,1065384
1992-03-27,32.85878,32.85878,32.71181,32.75766,625425
1992-03-30,32.66478,32.84937,32.57307,32.84937,779095
1992-03-31,32.84937,32.98811,32.75766,32.98811,736773
1992-04-01,32.96107,33.01633,32.81292,32.86936,1235007
1992-04-02,32.96107,33.07982,32.84937,32.94226,1473543
1992-04-03,32.92344,32.98811,32.72121,32.73885,916922
1992-04-06,32.71181,33.15272,32.693,33.12685,1473543
1992-04-07,33.12685,33.22796,33.03396,33.03396,1372832
1992-04-08,32.83173,32.89523,32.60129,32.60129,1176730
1992-04-09,32.61892,32.84937,32.60129,32.84937,1224372
1992-04-10,33.07982,33.1727,32.83173,32.89523,1616578
1992-04-13,32.83173,32.96107,32.62833,32.71181,848009
1992-04-14,32.73062,32.75766,32.68477,32.75766,567148
1992-04-15,32.89523,32.96107,32.86936,32.94226,980518
1992-04-16,33.01633,33.07982,32.96107,33.03396,567148
1992-04-21,32.98811,33.12685,32.94226,33.07982,662540
1992-04-22,33.12685,33.32908,33.12685,33.29145,1277440
1992-04-23,33.38316,33.47605,32.99752,32.99752,1298601
1992-04-24,33.06218,33.07982,32.96107,32.9693,641270
1992-04-27,32.89523,32.89523,32.73062,32.86936,863960
1992-04-28,32.89523,32.93167,32.71181,32.73885,651905
1992-04-29,32.80352,32.80352,32.60129,32.71181,567148
1992-04-30,32.71181,32.71181,32.40729,32.61892,795049
1992-05-04,32.52721,32.59188,32.43433,32.59188,317977
1992-05-05,32.57307,32.59188,32.40729,32.57307,959353
1992-05-06,32.60129,32.86936,32.58248,32.86936,1547666
1992-05-07,32.83997,32.92344,32.78588,32.89523,1187255
1992-05-08,32.94226,32.94226,32.76707,32.8235,895760
1992-05-11,32.8235,33.12685,32.8235,33.06218,2284546
1992-05-12,33.19034,33.25501,32.99752,32.99752,2295071
1992-05-13,33.03396,33.12685,32.88582,32.88582,1897549
1992-05-14,32.92344,32.96107,32.61892,32.66478,1425792
1992-05-15,32.60129,32.66478,32.38848,32.46372,1123661
1992-05-18,32.73062,33.22796,32.71181,33.21856,2189044
1992-05-19,33.26441,33.30086,33.01633,33.05278,2385257
1992-05-20,33.15272,33.42079,33.15272,33.38316,3630788
1992-05-21,33.32908,33.55953,32.57307,32.62833,5512492
1992-05-22,32.693,32.98811,32.67536,32.93167,2098969
1992-05-25,32.96107,32.9693,32.75766,32.86936,1022951
1992-05-26,32.86936,32.9693,32.66478,32.66478,1521185
1992-05-27,32.63891,32.70123,32.43433,32.48018,848009
1992-05-29,32.57307,32.61892,32.50017,32.56366,561830
1992-06-01,32.53662,32.56366,32.24974,32.29677,689020
1992-06-02,32.34262,32.37202,32.1498,32.15803,1298601
1992-06-03,32.14039,32.17684,31.65245,31.74416,975199
1992-06-04,31.74416,32.00283,31.55134,31.98284,1452272
1992-06-05,32.00283,32.06514,31.83587,31.85468,1287966
1992-06-09,31.90994,31.94639,31.6795,31.6889,673068
1992-06-10,31.67009,31.8829,31.55957,31.8829,1181938
1992-06-11,31.86409,31.94639,31.77238,31.77238,1383359
1992-06-12,31.83587,32.1498,31.80883,32.13099,1939980
1992-06-15,32.03928,32.06514,31.83587,31.8829,747298
1992-06-16,31.90994,32.09454,31.89113,32.0287,795049
1992-06-17,31.94639,31.96638,31.86409,31.86409,757934
1992-06-19,31.74416,32.03928,31.71594,32.01929,858644
1992-06-22,31.90994,31.94639,31.8735,31.92876,991153
1992-06-23,32.00283,32.06514,31.92053,31.96638,1007106
1992-06-24,31.97461,31.97461,31.8829,31.90994,667859
1992-06-25,31.94639,32.01929,31.90054,31.92876,768569
1992-06-26,31.83587,31.86409,31.65245,31.69831,810895
1992-06-29,31.69831,31.86409,31.6795,31.80883,386888
