Date,Open,High,Low,Close,Volume
1996-11-18,16.64435,17.09931,16.28542,16.28542,30292301
1996-11-19,16.3488,16.68776,15.82073,15.99976,21021501
1996-11-20,16.20189,16.23367,15.76811,15.99976,9421709
1996-11-21,15.92631,16.13833,15.88446,15.93638,6302940
1996-11-22,15.81014,16.27534,15.79972,16.23367,7314020
1996-11-25,16.27534,16.49675,16.23367,16.45403,321937
1996-11-26,16.49675,16.58184,16.41235,16.45403,321937
1996-11-27,16.40228,16.62525,16.31719,16.38058,321937
1996-11-28,16.45403,16.77112,16.41235,16.75201,321937
1996-11-29,16.7607,16.8892,16.39065,16.48581,321937
1996-12-02,16.49675,16.61309,16.45403,16.54884,321937
1996-12-03,16.60268,16.63393,16.45403,16.46584,321937
1996-12-04,16.40228,16.45403,16.26527,16.40228,321937
1996-12-05,16.3488,16.49675,16.31719,16.40228,1850140
1996-12-06,16.15848,16.15848,15.72574,15.87282,3864761
1996-12-09,16.02147,16.20189,15.99976,16.18018,2249540
1996-12-10,16.27534,16.47574,16.21196,16.22186,1897920
1996-12-11,16.14841,16.17011,15.99976,15.99976,2294809
1996-12-12,16.09492,16.1267,15.97979,15.97979,1384330
1996-12-13,15.88446,15.93638,15.65159,15.71515,2421071
1996-12-16,15.74675,16.08502,15.71515,16.02147,1676090
1996-12-17,15.89453,16.18018,15.88446,16.02147,2605679
1996-12-18,16.07495,16.08502,15.93638,15.94801,899414
1996-12-19,15.92631,16.10673,15.92631,16.10673,1998530
1996-12-20,16.18018,16.26527,16.10673,16.18018,1511599
1996-12-23,16.23367,16.23367,16.18018,16.20189,372241
1996-12-27,16.14841,16.25364,16.09492,16.14841,832511
1996-12-30,16.14841,16.27534,16.02147,16.05325,701724
1997-01-02,15.82073,16.20189,15.79972,15.98969,1712311
1997-01-03,16.05325,16.1267,16.0114,16.08502,1517129
1997-01-06,16.08502,16.23367,16.07495,16.14841,1640370
1997-01-07,16.09492,16.10673,15.96798,16.08502,1124271
1997-01-08,15.99976,15.99976,15.77853,15.78878,3225411
1997-01-09,15.71515,15.75735,15.47221,15.5988,3977439
1997-01-10,15.39807,15.42967,15.04938,15.15496,4960361
1997-01-13,15.37671,15.54601,14.90143,14.9332,3957321
1997-01-14,15.10217,15.19698,14.89066,14.99641,3311940
1997-01-15,14.99641,15.28172,14.99641,15.21834,2225400
1997-01-16,15.24977,15.45085,15.21834,15.40848,1655970
1997-01-17,15.42967,15.61982,15.42967,15.61982,2396420
1997-01-20,15.70438,15.89453,15.641,15.67278,2310910
1997-01-21,15.63058,15.69414,15.48246,15.57745,2330020
1997-01-22,15.71515,15.71515,15.39807,15.39807,1658479
1997-01-23,15.52483,15.52483,15.32392,15.38747,1248519
1997-01-24,15.32392,15.34528,15.10217,15.28172,2630330
1997-01-27,15.27113,15.33451,15.22893,15.29231,1086540
1997-01-28,15.24977,15.45085,15.21834,15.26053,2474390
1997-01-29,15.21834,15.28172,15.05997,15.13377,1956278
1997-01-30,15.07039,15.17597,15.00701,15.13377,1481920
1997-01-31,15.19698,15.32392,15.15496,15.27113,1608180
1997-02-03,15.37671,15.81014,15.29231,15.70438,2780740
1997-02-04,15.60922,15.71515,15.5988,15.69414,1500529
1997-02-05,15.74675,16.03154,15.74675,15.95809,3236479
1997-02-06,16.05325,16.40228,15.89453,16.39065,3086580
1997-02-07,16.45403,16.49675,16.20189,16.38058,2422080
1997-02-10,16.40228,16.40228,16.23367,16.3389,972353
1997-02-11,16.31719,16.31719,16.18018,16.23367,1407469
1997-02-12,16.27534,16.38058,16.22186,16.27534,2206779
1997-02-13,16.3488,16.40228,16.25364,16.35887,1493489
1997-02-14,16.3389,16.38058,16.23367,16.27534,1518139
1997-02-17,16.25364,16.30712,16.23367,16.28542,772650
1997-02-18,16.29705,16.38058,16.20189,16.20189,1552850
1997-02-19,16.25364,16.25364,16.07495,16.18018,1617229
1997-02-20,16.20189,16.25364,15.99976,16.07495,1401440
1997-02-21,15.94801,16.02147,15.79972,15.9046,1835550
1997-02-24,15.82073,15.88446,15.74675,15.82073,1016120
1997-02-25,15.89453,16.02147,15.89453,15.99976,804340
1997-02-26,16.07495,16.13833,15.94801,15.99976,1391370
1997-02-27,16.07495,16.27534,16.02147,16.20189,2599140
1997-02-28,16.18018,16.49675,16.1267,16.44413,2348129
1997-03-03,16.40228,16.8892,16.40228,16.8562,5750109
1997-03-04,16.95171,17.07848,16.93087,17.00381,4816990
1997-03-05,16.93087,17.00381,16.82495,16.95171,2270669
1997-03-06,17.01596,17.25734,16.84578,16.8562,4535801
1997-03-07,16.82495,16.97429,16.61309,16.80237,2110200
1997-03-10,16.83537,17.04722,16.75201,16.98297,1606169
1997-03-11,17.00381,17.60637,17.00381,17.40667,6719951
1997-03-12,17.44835,17.97798,17.44835,17.70188,5557451
1997-03-13,17.62895,18.49546,17.50218,18.4642,4883389
1997-03-14,18.39995,18.74725,17.91373,18.54755,6179190
1997-03-17,18.55797,18.72815,18.11517,18.31486,1978909
1997-03-18,18.25061,18.31486,17.99708,18.10475,2098129
1997-03-19,18.05092,18.24193,17.99708,18.10475,1251530
1997-03-20,18.09259,18.72815,17.97798,18.34612,4702810
