Date,Open,High,Low,Close,Volume
2006-06-28,12.86088,13.04182,12.72882,12.84528,269245
2006-06-29,12.87128,13.25499,12.72362,13.18324,280721
2006-06-30,13.33194,13.43488,13.16972,13.24251,81278
2006-07-03,13.23003,13.53783,13.17492,13.51287,99089
2006-07-04,13.52743,13.64077,13.33194,13.40057,106092
2006-07-05,13.43592,13.46712,13.23003,13.25603,189980
2006-07-06,13.35897,13.35897,12.98255,13.23003,220257
2006-07-07,13.13332,13.1926,12.90144,12.92639,118809
2006-07-10,12.90144,13.12812,12.82449,13.08341,25620
2006-07-11,13.09693,13.1354,12.85776,12.92535,52327
2006-07-12,12.97111,13.15932,12.89728,12.91703,77327
2006-07-13,12.81929,12.91703,12.45534,12.56453,145647
2006-07-14,12.49797,12.61652,12.18186,12.24529,118018
2006-07-17,12.24321,12.40023,12.20474,12.23073,343019
2006-07-18,12.09763,12.31184,12.09763,12.25049,47250
2006-07-19,12.21514,12.24529,11.70977,11.97285,217946
2006-07-20,12.05084,12.3212,11.93645,12.23073,234127
2006-07-21,12.33784,12.44598,11.98637,12.22969,151553
2006-07-24,12.20474,12.35655,12.11219,12.31288,109396
2006-07-25,12.30768,12.49174,12.20162,12.47614,125413
2006-07-26,12.38359,12.66851,12.24321,12.53645,205211
2006-07-27,12.53645,12.7153,12.48446,12.69139,120194
2006-07-28,12.71634,12.97215,12.53229,12.83489,152830
2006-07-31,12.92327,12.98566,12.61548,12.69139,212771
2006-08-01,12.57908,12.91184,12.48134,12.67163,126214
2006-08-02,12.60508,13.17804,12.55205,13.14892,145026
2006-08-03,13.09693,13.47128,12.67683,12.8796,366927
2006-08-04,12.67995,12.98047,12.67995,12.94719,380393
2006-08-07,12.89832,12.92327,12.66643,12.77354,327170
2006-08-08,12.81929,13.04182,12.80681,12.92639,169866
2006-08-09,12.93887,13.22483,12.88168,13.20403,224316
2006-08-10,13.10733,13.1666,12.93887,13.12812,188839
2006-08-11,12.98566,13.1822,12.98566,13.17284,108207
2006-08-14,13.22483,13.22483,12.92743,12.97943,81055
2006-08-15,12.96383,13.25603,12.92327,13.18324,68337
2006-08-16,12.95031,13.46608,12.95031,13.32674,82682
2006-08-17,13.26123,13.37873,13.21963,13.33194,74691
2006-08-18,13.33194,13.99952,13.31842,13.98704,380792
2006-08-21,13.97872,14.01616,13.70316,13.73748,50373
2006-08-22,13.88618,13.96936,13.68133,13.82067,84043
2006-08-23,13.92361,13.92361,13.45048,13.56382,65728
2006-08-24,13.53783,13.8633,13.27266,13.82067,318141
2006-08-25,13.77283,13.85706,13.59502,13.69172,31057
2006-08-28,13.74268,13.79363,13.61789,13.71668,40994
2006-08-29,13.74268,13.74268,13.4224,13.46088,182690
2006-08-30,13.55342,13.60958,13.45672,13.48999,137765
2006-08-31,13.64077,13.70212,13.42344,13.59398,91817
2006-09-01,13.55862,13.80403,13.48999,13.79883,112807
2006-09-04,13.86018,14.35827,13.52535,14.31252,139706
2006-09-05,14.32811,14.32811,14.05567,14.10247,87254
2006-09-06,13.99536,14.31667,13.99536,14.17941,225664
2006-09-07,14.01928,14.11182,13.94961,14.00472,249830
2006-09-08,13.97352,14.11182,13.94961,14.07959,78372
2006-09-11,14.10247,14.10247,13.82067,13.84666,82460
2006-09-12,13.83626,14.19501,13.72916,14.17941,102386
2006-09-13,14.16486,14.29692,13.85498,13.91217,108207
2006-09-14,13.99432,14.07543,13.86642,13.93297,69085
2006-09-15,13.86434,13.97456,13.725,13.84042,184907
2006-09-18,13.76451,13.84458,13.62725,13.70212,171828
2006-09-19,13.64077,13.72708,13.35065,13.54303,221022
2006-09-20,13.52535,13.71148,13.412,13.66573,193147
2006-09-21,13.58878,13.69172,13.412,13.52327,207873
2006-09-22,13.48687,13.52535,13.27162,13.43072,145008
2006-09-25,13.28202,13.50767,13.2685,13.47647,551609
2006-09-26,13.43488,14.04943,13.36625,14.02448,364013
2006-09-27,14.05047,14.34371,13.97976,14.09727,153999
2006-09-28,14.07959,14.25428,13.986,14.07647,51805
2006-09-29,14.14302,14.23557,13.94441,14.17941,57869
2006-10-02,14.23661,14.29276,14.06607,14.08687,118224
2006-10-03,14.15238,14.16798,13.88306,14.02448,25932
2006-10-04,13.96936,14.1191,13.87162,13.89138,84275
2006-10-05,14.05047,14.14094,13.88722,14.09207,67219
2006-10-06,14.15342,14.16278,14.01928,14.09727,45506
2006-10-09,13.84562,14.09311,13.72916,14.07231,78794
2006-10-10,14.10247,14.32811,13.98184,14.32291,90802
2006-10-11,14.31771,14.49241,14.25428,14.33331,196067
2006-10-12,14.37803,14.53712,14.26052,14.51633,112303
2006-10-13,14.57352,14.76381,14.47681,14.58912,125135
2006-10-16,14.66503,14.75861,14.24181,14.33851,161254
2006-10-17,14.42378,14.42378,14.06295,14.17941,86940
2006-10-18,14.25428,14.60471,14.24181,14.39362,158966
2006-10-19,14.44666,14.79605,14.39986,14.60055,169805
2006-10-20,14.66503,14.77837,14.62655,14.74301,85635
2006-10-23,14.74821,14.93227,14.61719,14.86572,104778
2006-10-24,14.99466,14.99466,14.68998,14.76381,189232
2006-10-25,14.78461,14.82516,14.66606,14.72846,102591
2006-10-26,14.76901,14.77837,14.39986,14.48201,107892
2006-10-27,14.35931,14.46017,14.04839,14.14718,109863
2006-10-30,14.20541,14.40714,14.10351,14.37283,278128
2006-10-31,14.40922,14.71806,14.28548,14.53712,513900
2006-11-01,14.61407,14.62655,14.35827,14.49657,350028
2006-11-02,14.30732,15.00194,14.30732,14.9541,286414
2006-11-03,14.92187,15.32221,14.92187,15.22966,154251
2006-11-06,15.33157,15.45323,15.17871,15.24006,186631
2006-11-07,15.18079,15.22966,14.87092,15.15376,173563
2006-11-08,15.17871,15.20471,15.00818,15.10176,69228
2006-11-09,15.07681,15.12776,14.85012,14.98842,133947
2006-11-10,14.89171,14.98842,14.61407,14.63903,159914
2006-11-13,14.76901,14.90107,14.64215,14.74301,311156
2006-11-14,14.74821,14.78149,14.37699,14.66087,88471
2006-11-15,14.64527,15.02793,14.61407,14.94786,169379
2006-11-16,14.97282,15.02377,14.80852,14.94786,109323
2006-11-17,14.92187,14.9905,14.79293,14.79397,35310
2006-11-20,14.87092,14.96554,14.76901,14.89171,144908
2006-11-21,14.84076,15.02481,14.78773,15.01545,235406
2006-11-22,15.02065,15.05601,14.76901,14.87092,100655
2006-11-23,14.93331,14.93331,14.77837,14.83556,72208
2006-11-24,14.81996,14.83556,14.35931,14.43522,93510
2006-11-27,14.37803,14.43522,14.08687,14.17318,86518
2006-11-28,14.02656,14.19397,13.39537,14.17318,257859
2006-11-29,14.30004,14.61927,14.17318,14.60991,203122
2006-11-30,14.65047,14.75445,14.40922,14.60055,175138
2006-12-01,14.69206,14.76901,14.49033,14.62031,201392
2006-12-04,14.75861,14.75861,14.50905,14.56312,169057
2006-12-05,14.66503,14.66814,14.23245,14.49137,155357
2006-12-06,14.22933,14.49033,14.17318,14.43002,155644
2006-12-07,14.56312,15.12152,14.46121,15.05081,379800
2006-12-08,14.87092,14.87092,14.60783,14.75341,141551
2006-12-11,14.87092,15.05289,14.76901,14.94267,399914
2006-12-12,15.07577,15.12568,14.87196,15.06121,159661
2006-12-13,15.12776,15.5697,14.99674,15.48443,378269
2006-12-14,15.30245,15.47091,15.20887,15.47091,275248
2006-12-15,15.38356,15.40436,15.13192,15.35237,120941
2006-12-18,15.38356,15.88373,15.28166,15.7028,167447
2006-12-19,15.71112,15.78391,15.33365,15.48131,98405
2006-12-20,15.48651,15.57282,15.23174,15.31701,191918
2006-12-21,15.35445,15.38668,14.94578,15.01026,280395
2006-12-22,15.07681,15.38772,15.00402,15.33677,190961
2006-12-27,15.58737,15.79222,15.29414,15.6768,134137
2006-12-28,15.79742,15.81406,15.58841,15.69656,135442
2006-12-29,15.70696,15.70696,15.49483,15.59361,17093
2007-01-02,15.5437,15.76519,15.29725,15.48651,89181
2007-01-03,15.64041,15.74751,15.5125,15.656,139087
2007-01-04,15.88789,15.97212,15.66016,15.89309,288459
2007-01-05,15.9586,15.9586,15.43452,15.49171,255906
2007-01-08,15.63625,15.74439,15.5333,15.59361,135469
2007-01-09,15.54058,15.8255,15.49171,15.69656,214633
2007-01-10,15.79326,15.79326,15.46571,15.57386,169874
2007-01-11,15.45739,15.81406,15.45739,15.71631,147909
2007-01-12,15.64041,15.8255,15.64041,15.80054,129953
2007-01-15,15.89621,15.9482,15.72255,15.81926,147212
2007-01-16,15.89621,16.00539,15.87021,15.92221,149715
2007-01-17,15.99915,15.99915,15.74543,15.81926,296540
2007-01-18,15.79534,15.99292,15.72567,15.81926,79038
2007-01-19,15.86501,15.86501,15.5333,15.62481,248860
2007-01-22,15.6924,15.79638,15.4106,15.4106,99206
2007-01-23,15.5125,15.74647,15.38356,15.60401,221140
2007-01-24,15.6924,15.9742,15.5593,15.86085,140041
2007-01-25,15.86501,15.91805,15.64041,15.6456,364349
2007-01-26,15.71112,15.71735,15.43971,15.49171,278632
2007-01-29,15.46155,15.69032,15.46155,15.6664,109405
2007-01-30,15.64041,16.30695,15.52082,15.88165,272988
2007-01-31,15.9482,16.00331,15.64145,15.84422,110863
2007-02-01,15.87645,16.34646,15.86085,16.25496,335897
2007-02-02,16.3475,16.39014,16.00851,16.35374,157236
2007-02-05,16.42965,16.42965,15.99915,16.23,309724
