Date,Open,High,Low,Close,Volume
1991-04-05,7.09997,7.09997,7.09997,7.09997,4800
1991-04-11,6.67,6.67,6.67,6.67,4800
1991-04-17,6.75005,6.79998,6.75005,6.79998,9600
1991-04-18,6.85001,6.88004,6.85001,6.88004,43299
1991-04-19,6.88004,6.88004,6.88004,6.88004,14400
1991-04-23,6.59995,6.59995,6.59995,6.59995,4800
1991-04-24,6.53001,6.53001,6.53001,6.53001,9600
1991-04-25,6.58004,6.58004,6.53001,6.53001,19201
1991-04-29,6.79998,6.79998,6.79998,6.79998,4800
1991-05-02,6.59995,6.59995,6.59005,6.59995,33700
1991-05-03,6.72003,6.72003,6.72003,6.72003,9600
1991-05-10,6.62997,6.62997,6.62997,6.62997,4800
1991-05-14,6.55002,6.55002,6.55002,6.55002,4800
1991-05-15,6.39992,6.39992,6.09993,6.28005,48201
1991-05-22,6.25003,6.25003,6.25003,6.25003,9600
1991-05-24,6.29996,6.29996,6.29996,6.29996,4800
1991-05-27,6.29996,6.29996,6.29996,6.29996,9600
1991-05-29,6.34999,6.38001,6.34999,6.38001,57800
1991-05-31,6.46997,6.46997,6.46997,6.46997,4800
1991-06-07,6.49999,6.49999,6.49999,6.49999,4800
1991-06-11,6.59995,6.61996,6.59995,6.59995,19201
1991-06-13,6.46997,6.83,6.46997,6.79998,62601
1991-06-14,6.88004,6.88004,6.70002,6.70002,14400
1991-06-17,6.75005,6.75005,6.75005,6.75005,4800
1991-06-18,6.89994,6.96999,6.89994,6.95008,38500
1991-06-19,6.85001,6.85001,6.83,6.83,9600
1991-06-20,6.85001,6.85001,6.85001,6.85001,4800
1991-06-21,6.95008,7.09997,6.95008,7.05005,43299
1991-06-24,6.95008,6.95008,6.75005,6.75005,14400
1991-06-25,6.72003,6.83,6.72003,6.83,9600
1991-06-26,6.84001,6.84001,6.62997,6.62997,28899
1991-06-27,6.62997,6.62997,6.55002,6.55002,14400
1991-06-28,6.46997,6.49999,6.46997,6.49999,9600
1991-07-03,6.42004,6.42004,6.42004,6.42004,9600
1991-07-04,6.45006,6.45006,6.45006,6.45006,9600
1991-07-05,6.55002,6.78007,6.55002,6.70002,57800
1991-07-10,6.85001,6.85001,6.75005,6.75005,19201
1991-07-19,6.67,6.67,6.67,6.67,4800
1991-07-24,6.72003,6.72003,6.70002,6.70002,14400
1991-07-25,6.64998,6.64998,6.64998,6.64998,4800
1991-07-26,6.67,6.75005,6.67,6.70002,28899
1991-07-29,6.70002,6.75005,6.70002,6.75005,19201
1991-07-30,6.79998,6.79998,6.79998,6.79998,4800
1991-08-06,6.83,6.83,6.79998,6.79998,14400
1991-08-08,6.85001,6.85001,6.85001,6.85001,19201
1991-08-09,7.00001,7.00001,7.00001,7.00001,9600
1991-08-12,7.00001,7.12999,7.00001,7.09997,77100
1991-08-13,7.15001,7.24997,7.15001,7.22006,86700
1991-08-14,7.24997,7.24997,7.20004,7.20004,38500
1991-08-16,7.15001,7.20004,7.15001,7.20004,9600
1991-08-22,7.09997,7.09997,7.00001,7.05005,38500
1991-08-27,7.03003,7.03003,7.03003,7.03003,14400
1991-08-28,7.09997,7.09997,6.95008,6.95008,33700
1991-08-29,7.05005,7.45,7.05005,7.43999,67400
1991-08-30,7.5901,7.63002,7.5901,7.6,33700
1991-09-05,7.33002,7.33002,7.33002,7.33002,4800
1991-09-12,7.22006,7.37995,7.22006,7.34993,38500
1991-09-13,7.45,7.54996,7.45,7.46001,67400
1991-09-17,7.53006,7.57998,7.53006,7.54996,77100
1991-09-18,7.54996,7.56998,7.33002,7.33002,53000
1991-09-19,7.3,7.3,7.3,7.3,4800
1991-09-23,7.50003,7.50003,7.50003,7.50003,4800
1991-09-24,7.54996,7.80003,7.54996,7.70007,57800
1991-09-25,7.78001,7.78992,7.70007,7.78992,53000
1991-09-26,7.74999,7.89999,7.74999,7.83005,67400
1991-09-27,7.87998,7.87998,7.74999,7.74999,62601
1991-10-01,7.70007,7.70007,7.50003,7.50003,14400
1991-10-02,7.50003,7.54996,7.50003,7.54996,14400
1991-10-04,7.42009,7.45,7.42009,7.45,14400
1991-10-08,7.34993,7.34993,7.34993,7.34993,4800
1991-10-09,7.17002,7.17002,7.17002,7.17002,9600
1991-10-15,7.57998,7.57998,7.57998,7.57998,19201
1991-10-16,7.6,7.6,7.54996,7.54996,14400
1991-10-17,7.54996,7.54996,7.39997,7.39997,33700
1991-10-18,7.39997,7.6,7.37995,7.57998,86700
1991-10-21,7.53006,7.53006,7.50003,7.50003,14400
1991-10-24,7.3,7.3,7.24997,7.24997,9600
1991-10-28,7.39997,7.45,7.39997,7.45,24100
1991-10-29,7.47001,7.47001,7.45,7.47001,33700
1991-10-30,7.27999,7.27999,7.27999,7.27999,4800
1991-11-04,7.39997,7.39997,7.37995,7.37995,9600
1991-11-05,7.42009,7.50003,7.42009,7.50003,9600
1991-11-06,7.42999,7.45,7.42999,7.45,43299
1991-11-07,7.50003,7.67004,7.50003,7.67004,43299
1991-11-08,7.74999,7.80003,7.70007,7.70997,72299
1991-11-11,7.64993,7.64993,7.54996,7.54996,14400
1991-11-12,7.74999,7.87998,7.74999,7.84996,43299
1991-11-13,7.83005,7.89999,7.83005,7.89999,14400
1991-11-14,7.89999,8.13004,7.89999,8.13004,57800
1991-11-15,8.18998,8.22,8.17997,8.22,28899
1991-11-18,7.89999,8.13004,7.89999,8.13004,19201
1991-11-19,8.14995,8.14995,7.92,7.92,19201
1991-11-22,7.89999,7.89999,7.84996,7.84996,9600
1991-11-25,7.74999,7.80003,7.74999,7.78001,19201
1991-11-26,7.71997,7.71997,7.71997,7.71997,4800
1991-11-27,7.63002,7.63002,7.6,7.6,9600
1991-11-28,7.54996,7.66004,7.54996,7.63002,57800
1991-11-29,7.54996,7.54996,7.45,7.45,14400
1991-12-02,7.29,7.29,7.29,7.29,4800
1991-12-03,7.3,7.3,7.27999,7.27999,28899
1991-12-04,7.3,7.3,7.3,7.3,4800
1991-12-10,7.24997,7.24997,7.20004,7.20004,33700
1991-12-11,7.17002,7.17002,7.17002,7.17002,4800
1991-12-12,7.34993,7.39997,7.3,7.3,14400
1991-12-13,7.37995,7.50003,7.37995,7.45,33700
1991-12-16,7.45,7.45,7.45,7.45,14400
1991-12-17,7.47001,7.47001,7.47001,7.47001,4800
1991-12-18,7.54996,7.78001,7.54996,7.78001,24100
1991-12-19,7.92,8.07,7.92,8.07,28899
1991-12-20,8.04999,8.04999,7.80003,7.87998,81900
1991-12-23,7.87998,7.95002,7.84996,7.95002,28899
1991-12-27,8.04999,8.10002,8.03008,8.03008,28899
1992-01-02,8.10002,8.10002,8.10002,8.10002,9600
1992-01-03,8.04999,8.04999,8.04999,8.04999,24100
1992-01-06,8.00006,8.07,8.00006,8.00006,24100
1992-01-07,7.95002,7.95002,7.95002,7.95002,4800
1992-01-08,7.80003,7.80003,7.80003,7.80003,4800
1992-01-10,7.95002,8.17997,7.95002,8.17997,67400
1992-01-13,8.23,8.23,8.23,8.23,9600
1992-01-14,8.30005,8.30005,8.20009,8.25002,144600
1992-01-15,8.38,8.47006,8.35999,8.47006,43299
1992-01-16,8.45005,8.75004,8.45005,8.59994,33700
1992-01-17,8.64997,8.64997,8.59994,8.64997,19201
1992-01-20,8.59994,8.79997,8.59994,8.79997,28899
1992-01-21,8.81998,8.88002,8.81998,8.88002,33700
1992-01-22,8.70001,8.70001,8.70001,8.70001,4800
1992-01-23,8.67999,8.70001,8.67999,8.67999,43299
1992-01-24,8.59994,8.59994,8.59994,8.59994,9600
1992-01-27,8.64997,8.70001,8.64997,8.70001,14400
1992-01-28,8.64997,8.64997,8.64997,8.64997,4800
1992-01-29,8.64997,8.64997,8.64997,8.64997,4800
1992-01-30,8.69,8.75004,8.69,8.75004,19201
1992-01-31,8.81998,8.89993,8.81998,8.89993,38500
1992-02-03,8.89993,9.05003,8.89993,9.05003,101200
1992-02-04,8.92995,8.96998,8.34998,8.45005,221700
1992-02-05,8.38,8.38,8.00006,8.07,163801
1992-02-06,8.14995,8.14995,7.6,7.66004,81900
1992-02-07,7.67004,7.84996,7.67004,7.84996,120500
1992-02-10,7.87998,8.00006,7.87998,7.97004,62601
1992-02-11,7.92,7.95002,7.80003,7.80003,43299
1992-02-13,7.84996,8.00006,7.80003,7.94002,72299
1992-02-14,7.97004,8.00006,7.89999,7.89999,81900
1992-02-17,7.89999,7.89999,7.89999,7.89999,14400
1992-02-18,7.89999,7.89999,7.89999,7.89999,9600
1992-02-19,7.98995,8.00996,7.97004,7.97004,48201
1992-02-20,8.28004,8.28004,8.25002,8.25002,24100
1992-02-24,8.25002,8.30005,8.25002,8.30005,38500
1992-02-25,8.10002,8.10002,8.04999,8.04999,24100
1992-02-26,8.04999,8.10002,8.03008,8.10002,48201
1992-02-27,8.20009,8.20009,8.20009,8.20009,4800
1992-02-28,8.10002,8.10002,8.10002,8.10002,4800
1992-03-04,8.20009,8.30005,8.20009,8.20009,43299
1992-03-05,8.22,8.22,8.10002,8.13004,72299
1992-03-09,8.03008,8.03008,8.03008,8.03008,4800
1992-03-10,8.07,8.07,8.07,8.07,4800
1992-03-11,7.80003,7.80003,7.80003,7.80003,14400
1992-03-13,8.00006,8.00006,7.95993,7.95993,14400
1992-03-16,7.89999,7.89999,7.84996,7.84996,6700
1992-03-17,7.92,7.92,7.92,7.92,1901
1992-03-18,8.10002,8.10002,8.10002,8.10002,1901
1992-03-19,7.87998,7.87998,7.87998,7.87998,4800
1992-03-20,7.83005,8.13004,7.83005,8.07,74200
1992-03-23,8.04999,8.04999,7.84996,7.84996,33700
1992-03-24,7.70997,7.74999,7.70997,7.74999,9600
1992-03-25,7.71997,7.80003,7.71997,7.76,38500
1992-03-26,7.74999,7.74999,7.71997,7.71997,24100
1992-03-27,7.54996,7.54996,7.50003,7.50003,28899
1992-03-31,7.50003,7.57998,7.50003,7.53006,26900
1992-04-01,7.43999,7.43999,7.25998,7.27999,23100
1992-04-02,7.24997,7.36995,7.24997,7.34993,36600
1992-04-03,7.34993,7.42009,7.34993,7.42009,41400
1992-04-06,7.45,7.47001,7.42999,7.45,24100
1992-04-07,7.45,7.6,7.45,7.6,99300
1992-04-08,7.50003,7.54996,7.34993,7.45,86700
1992-04-09,7.45,7.45,7.37995,7.39997,34700
1992-04-10,7.50003,7.50003,7.42009,7.42009,99300
1992-04-13,7.39997,7.45,7.39997,7.42009,11500
1992-04-14,7.45,7.45,7.42009,7.42009,15400
1992-04-15,7.50003,7.56998,7.50003,7.56998,50999
1992-04-16,7.54996,7.71997,7.54996,7.67004,70300
1992-04-21,7.6,7.74999,7.6,7.74999,43299
1992-04-22,7.78001,7.78001,7.71997,7.71997,21200
1992-04-23,7.76,7.76,7.74999,7.74999,14400
1992-04-24,7.74999,7.74999,7.70997,7.70997,9600
1992-04-27,7.70007,7.70007,7.64993,7.64993,68400
1992-04-28,7.68995,7.68995,7.67004,7.67004,11500
1992-04-29,7.70007,7.84996,7.70007,7.74999,93500
1992-04-30,7.80003,7.80003,7.67004,7.67004,43299
1992-05-04,7.6,7.6,7.37995,7.40997,102100
1992-05-05,7.40997,7.40997,7.24997,7.33002,296901
1992-05-06,7.33002,7.6,7.33002,7.57998,359600
1992-05-07,7.63002,7.71997,7.57998,7.6,312300
1992-05-08,7.63002,7.64002,7.54996,7.6,55900
1992-05-11,7.53006,7.53006,7.39997,7.50003,79999
1992-05-12,7.50003,7.54996,7.50003,7.53006,55900
1992-05-13,7.53996,7.53996,7.47001,7.50003,45300
1992-05-14,7.50994,7.50994,7.37995,7.37995,54900
1992-05-15,7.3,7.3,6.70002,6.89994,142600
1992-05-18,6.89994,7.05005,6.89994,6.92996,44300
1992-05-19,6.93997,6.93997,6.92006,6.92006,9600
1992-05-20,6.96999,7.00991,6.92006,6.92006,31801
1992-05-21,6.92006,6.92006,6.64998,6.67,57800
1992-05-22,6.75005,6.79998,6.75005,6.75005,39500
1992-05-25,6.70002,6.70002,6.62997,6.62997,24100
1992-05-26,6.39992,6.45006,6.25003,6.38001,91500
1992-05-27,6.32998,6.45006,6.32998,6.42994,74200
1992-05-29,6.46997,6.78007,6.46997,6.78007,54900
1992-06-01,6.78007,6.89994,6.75005,6.85001,27900
1992-06-02,6.79998,7.00001,6.79998,7.00001,101200
1992-06-03,7.00001,7.05005,6.85001,6.92006,36600
1992-06-04,6.78007,6.89004,6.78007,6.89004,21200
1992-06-05,6.95008,6.95008,6.88004,6.88004,24100
1992-06-09,6.70002,6.70002,6.58004,6.58004,44300
1992-06-10,6.49999,6.55002,6.42004,6.49999,41400
1992-06-11,6.39992,6.39992,6.39992,6.39992,900
1992-06-12,6.34999,6.38001,6.34999,6.38001,32701
1992-06-15,6.39992,6.78007,6.39992,6.71003,165800
1992-06-16,6.79998,6.85001,6.72003,6.72003,47200
1992-06-17,6.63998,6.63998,6.49999,6.49999,32701
1992-06-19,6.55002,6.64998,6.55002,6.62997,24100
1992-06-22,6.64998,6.70002,6.64998,6.70002,12499
1992-06-23,6.70002,6.72003,6.59995,6.62997,94400
1992-06-24,6.53001,6.53001,6.50999,6.50999,9600
1992-06-25,6.55002,6.55002,6.38001,6.39992,45300
