Date,Open,High,Low,Close,Volume
2000-10-23,27.44972,27.55106,27.14906,27.55106,104100
2000-10-25,29.26044,34.00177,29.26044,31.89883,125500
2000-10-26,31.40055,34.99835,31.31947,33.19945,130600
2000-10-27,33.79908,34.29906,32.6792,34.00177,140900
2000-10-30,33.70956,37.19926,33.70111,36.49828,87200
2000-11-01,37.65025,38.00159,35.05071,36.99994,135200
2000-11-02,36.98136,36.99994,34.91051,36.11992,42201
2000-11-03,36.34964,37.53032,35.70102,36.25167,65400
2000-11-06,37.0996,37.3006,35.25171,35.50001,51499
2000-11-07,35.19935,35.80068,32.2299,35.80068,117900
2000-11-08,36.00168,36.00168,32.79913,32.79913,109400
2000-11-09,33.05081,34.49837,32.50016,33.50011,118300
2000-11-10,32.81095,32.99,30.22999,30.92084,99700
2000-11-13,31.19954,31.19954,29.00032,29.00032,99499
2000-11-15,32.99844,33.30079,30.49856,31.89883,173600
2000-11-16,32.00018,34.60141,31.5002,32.00018,160000
2000-11-17,33.94941,34.10143,32.00018,32.29915,818701
2000-11-20,31.60155,32.99844,30.24857,31.00023,551800
2000-11-21,30.49856,31.00023,28.24867,30.3989,412300
2000-11-22,29.69961,32.01876,29.69961,29.95129,253401
2000-11-23,30.00027,30.14892,29.95129,30.14892,212899
2000-11-24,30.00027,31.46135,29.73002,30.87861,240301
2000-11-27,30.59991,32.99844,30.59991,32.20118,222201
2000-11-28,32.03903,34.00177,31.42081,31.94951,440999
2000-11-29,32.20118,36.6503,30.65058,34.10143,502101
2000-11-30,34.00177,34.79903,31.19954,32.04916,412300
2000-12-01,33.89874,34.25007,32.65049,32.99844,213600
2000-12-04,32.50016,34.00177,31.5002,31.5002,248101
2000-12-05,32.79913,33.09979,27.50039,30.19959,218500
2000-12-06,30.29925,30.56781,27.24871,28.74864,347700
2000-12-07,28.70135,28.70135,25.99877,26.92947,167501
2000-12-08,27.17102,28.59831,27.10007,28.05104,308600
2000-12-11,28.45136,30.00027,28.43954,30.00027,190100
2000-12-12,30.19959,31.34987,30.19959,31.00023,154000
2000-12-13,32.00018,32.00018,30.69956,31.00023,131300
