Date,Open,High,Low,Close,Volume
1991-04-05,19.60025,19.6819,19.52,19.6819,53100
1991-04-08,19.45101,19.62981,19.39892,19.54956,53100
1991-04-09,19.60025,20.00149,19.60025,19.84944,178701
1991-04-10,19.75089,19.84944,19.54956,19.64952,77201
1991-04-11,19.75089,19.79875,19.6819,19.75089,91701
1991-04-12,19.81987,19.879,19.7706,19.79875,96500
1991-04-15,19.84944,20.24927,19.84944,20.19999,193099
1991-04-16,20.26898,20.45059,20.15072,20.26898,246301
1991-04-17,20.54774,20.65051,20.38161,20.43088,207601
1991-04-18,20.49987,20.51958,19.94939,20.05076,144800
1991-04-19,19.94939,19.94939,19.60025,19.60025,120700
1991-04-22,19.34965,19.54956,19.34965,19.45101,77201
1991-04-23,19.49888,19.72977,19.45101,19.72977,130400
1991-04-24,19.6988,19.75089,19.64952,19.72977,82100
1991-04-25,19.79875,20.05076,19.79875,19.79875,140000
1991-04-26,19.7706,19.94939,19.75089,19.7706,67599
1991-04-29,19.90012,20.05076,19.79875,19.84944,96500
1991-04-30,19.84944,19.84944,19.62981,19.6819,57899
1991-05-02,19.75089,19.90012,19.6988,19.879,106200
1991-05-03,19.90012,20.05076,19.90012,19.94939,130400
1991-05-06,19.92968,20.10004,19.84944,20.05076,265600
1991-05-07,20.19999,20.32107,20.13101,20.13101,284900
1991-05-08,20.05076,20.13101,20.00149,20.0212,120700
1991-05-10,20.17888,20.19999,20.10004,20.13101,82100
1991-05-13,20.00149,20.05076,19.90012,20.05076,82100
1991-05-14,19.98037,19.98037,19.75089,19.75089,91701
1991-05-15,19.75089,19.75089,19.64952,19.75089,77201
1991-05-16,19.75089,19.81987,19.6988,19.81987,72400
1991-05-17,19.84944,19.84944,19.75089,19.75089,33801
1991-05-21,19.81987,19.90012,19.81987,19.90012,86900
1991-05-22,19.98037,20.15072,19.98037,20.05076,144800
1991-05-23,20.15072,20.3985,20.15072,20.38161,260798
1991-05-24,20.35064,20.75047,20.35064,20.65051,289700
1991-05-27,20.59983,20.68007,20.54774,20.59983,91701
1991-05-28,20.62939,20.70119,20.49987,20.70119,178701
1991-05-29,20.68007,20.95038,20.68007,20.73076,178701
1991-05-31,20.8997,21.23055,20.8997,21.09962,246301
1991-06-03,21.05034,21.23055,20.8997,20.97995,202800
1991-06-04,20.8997,21.05034,20.81945,20.81945,120700
1991-06-05,20.8997,21.19958,20.8997,21.13059,207601
1991-06-06,21.09962,21.23055,20.70119,20.8997,217300
1991-06-07,20.95038,21.06864,20.80115,20.81945,120700
1991-06-10,20.81945,20.81945,20.70119,20.80115,43401
1991-06-11,20.95038,21.09962,20.8997,21.09962,115900
1991-06-12,21.09962,21.13059,20.77018,20.77018,149700
1991-06-13,20.85043,20.85043,20.65051,20.75047,72400
1991-06-14,20.80115,20.81945,20.68007,20.75047,101401
1991-06-17,20.81945,20.87999,20.75047,20.75047,43401
1991-06-18,20.68007,20.68007,20.54774,20.65051,144800
1991-06-19,20.57167,20.57167,20.38161,20.3985,159300
1991-06-20,20.45059,20.65051,20.45059,20.59983,115900
1991-06-21,20.70119,20.95038,20.70119,20.92927,140000
1991-06-24,20.8997,20.8997,20.59983,20.64065,82100
1991-06-25,20.54774,20.65051,20.49987,20.54774,111000
1991-06-26,20.62939,20.62939,20.13101,20.22956,154500
1991-06-27,20.26898,20.49987,20.05076,20.15072,183500
1991-06-28,20.06906,20.06906,19.79875,19.92968,144800
1991-07-01,19.94939,19.98037,19.84944,19.98037,82100
1991-07-02,19.94939,19.98037,19.62981,19.75089,144800
1991-07-03,19.6819,19.6819,19.54956,19.56927,82100
1991-07-04,19.64952,19.79875,19.62981,19.64952,115900
1991-07-05,19.64952,19.64952,19.39892,19.45101,96500
1991-07-08,19.30178,19.34965,19.27081,19.27081,53100
1991-07-09,19.42989,19.56927,19.42989,19.56927,169001
1991-07-10,19.62981,19.6819,19.54956,19.60025,130400
1991-07-11,19.54956,19.54956,19.39892,19.39892,135199
1991-07-12,19.52,19.56927,19.49888,19.54956,38600
1991-07-15,19.54956,19.56927,19.45101,19.48058,67599
1991-07-16,19.49888,19.62981,19.45101,19.45101,111000
1991-07-17,19.32008,19.39892,19.30178,19.39892,43401
1991-07-18,19.30178,19.30178,19.13002,19.13002,197999
1991-07-19,19.20886,19.20886,19.07089,19.11172,101401
1991-07-22,19.04836,19.04836,19.0005,19.04836,62699
1991-07-23,19.02021,19.04836,19.02021,19.04836,33801
1991-07-24,18.98079,18.98079,18.73019,18.7513,86900
1991-07-25,18.64994,18.64994,18.37963,18.52042,91701
1991-07-26,18.50071,18.50071,18.43031,18.43031,67599
1991-07-29,18.45143,18.60207,18.45143,18.60207,38600
1991-07-30,18.6795,18.94981,18.6795,18.88083,251100
1991-07-31,19.0005,19.16099,18.90054,19.13002,202800
1991-08-01,19.14973,19.28911,19.14973,19.20041,140000
1991-08-02,19.09905,19.28911,19.07089,19.28911,62699
1991-08-05,19.24969,19.39892,19.22998,19.24969,67599
1991-08-06,19.20041,19.32008,19.14973,19.17929,197999
1991-08-07,19.24969,19.32008,19.22998,19.24969,120700
1991-08-08,19.24969,19.30178,19.22998,19.24969,115900
1991-08-09,19.24969,19.30178,19.22998,19.22998,77201
1991-08-12,19.14973,19.22998,19.14973,19.20041,38600
1991-08-13,19.22998,19.37921,19.22998,19.37921,77201
1991-08-14,19.37921,19.45101,19.24969,19.24969,91701
1991-08-15,19.30178,19.39892,19.30178,19.39892,125499
1991-08-16,19.32008,19.32008,19.20041,19.27081,57899
1991-08-19,17.99951,17.99951,16.54941,17.39976,642300
1991-08-20,17.75032,18.22899,17.70104,18.0699,357400
1991-08-21,18.19942,18.84986,18.19942,18.79917,454001
1991-08-22,18.90054,18.90054,18.73019,18.73019,91701
1991-08-23,18.84986,19.04836,18.81043,18.94981,125499
1991-08-26,18.94981,19.37921,18.94981,19.24969,120700
1991-08-27,19.32008,19.49888,19.01035,19.01035,164200
1991-08-28,19.09905,19.09905,19.02021,19.04836,48200
1991-08-29,19.14973,19.22998,19.0005,19.0005,96500
1991-08-30,19.07089,19.09905,18.94981,18.98079,82100
1991-09-02,19.04836,19.09905,18.98079,19.0005,101401
1991-09-03,19.0005,19.02021,19.0005,19.02021,28900
1991-09-04,18.94981,18.98079,18.9301,18.94981,62699
1991-09-05,18.94981,19.09905,18.94981,19.07089,53100
1991-09-06,19.14973,19.20041,19.04836,19.04836,106200
1991-09-09,19.0005,19.02021,18.90054,18.94981,43401
1991-09-10,18.84986,18.88083,18.79917,18.8217,43401
1991-09-11,18.8217,18.84986,18.8217,18.8217,38600
1991-09-12,18.84986,18.94981,18.84986,18.94981,28900
1991-09-13,19.04836,19.13002,19.04836,19.04836,57899
1991-09-16,18.94981,18.94981,18.90054,18.90054,28900
1991-09-17,18.9301,18.95967,18.90054,18.90054,67599
1991-09-18,18.98079,19.02021,18.84986,18.98079,246301
1991-09-19,18.94981,19.04836,18.9301,18.98079,53100
1991-09-20,18.98079,18.98079,18.84986,18.9301,86900
1991-09-23,18.94981,19.20886,18.90054,19.17929,101401
1991-09-24,19.22998,19.39047,19.22012,19.30178,231801
1991-09-25,19.34965,19.39047,19.13002,19.13002,144800
1991-09-26,19.13002,19.13002,18.98079,18.98079,96500
1991-09-27,19.0005,19.0005,18.84986,19.0005,43401
1991-09-30,19.0005,19.07089,19.0005,19.0005,38600
1991-10-01,19.04836,19.22998,18.98079,19.17929,140000
1991-10-02,19.14973,19.34965,19.04836,19.27081,120700
1991-10-04,19.17929,19.39892,19.17929,19.34965,149700
1991-10-07,19.32008,19.37921,19.13002,19.13002,86900
1991-10-08,19.22998,19.24969,19.04836,19.13002,106200
1991-10-09,19.14973,19.14973,18.94981,18.98079,86900
1991-10-10,18.90054,18.94981,18.84986,18.9301,120700
1991-10-11,18.94981,19.13002,18.94981,19.09905,135199
1991-10-14,19.04836,19.09905,19.0005,19.02021,53100
1991-10-15,19.13002,19.24969,19.13002,19.14973,106200
1991-10-16,19.22998,19.26095,19.13002,19.17929,193099
1991-10-17,19.20041,19.20041,19.14973,19.20041,120700
1991-10-18,19.20041,19.20041,19.09905,19.20041,106200
1991-10-21,19.20041,19.22998,19.16099,19.16099,91701
1991-10-22,19.14973,19.20041,19.13002,19.17929,96500
1991-10-23,19.22998,19.30178,19.20041,19.20041,72400
1991-10-24,19.26095,19.27081,19.14973,19.14973,67599
1991-10-25,19.20041,19.20041,19.09905,19.09905,38600
1991-10-28,19.09905,19.13002,18.98079,19.04836,159300
1991-10-29,19.13002,19.39047,19.13002,19.34965,241399
1991-10-30,19.39892,19.39892,19.30178,19.32008,106200
1991-10-31,19.27081,19.32008,19.27081,19.32008,48200
1991-11-01,19.27081,19.34965,19.24969,19.34965,43401
1991-11-04,19.30178,19.30178,19.27081,19.27081,53100
