Date,Open,High,Low,Close,Volume
1994-09-13,3.37012,3.37494,3.37012,3.37494,144000
1994-09-14,3.36247,3.41506,3.35252,3.41506,374400
1994-09-16,3.43737,3.43737,3.43737,3.43737,86401
1994-09-20,3.43737,3.43737,3.43737,3.43737,43200
1994-09-21,3.43737,3.43737,3.43737,3.43737,144000
1994-09-22,3.4775,3.4775,3.4775,3.4775,144000
1994-09-23,3.49991,3.50494,3.49991,3.50494,230400
1994-09-26,3.5325,3.5325,3.5325,3.5325,144000
1994-09-28,3.68754,3.68754,3.68754,3.68754,43200
1994-10-10,3.64752,3.64752,3.64752,3.64752,86401
1994-10-20,3.91508,3.91508,3.91508,3.91508,331200
1994-10-21,3.93739,3.93739,3.93739,3.93739,43200
1994-10-24,3.81252,3.81252,3.81252,3.81252,43200
1994-10-26,3.69246,3.69246,3.69246,3.69246,43200
1994-10-27,3.71007,3.71007,3.71007,3.71007,43200
1994-10-28,3.83504,3.87495,3.83504,3.87495,86401
1994-11-01,4.02257,4.02759,4.00004,4.02759,287999
1994-11-03,3.96002,3.96002,3.96002,3.96002,86401
1994-11-15,4.33506,4.33506,4.33506,4.33506,86401
1994-11-18,4.31254,4.31254,4.31254,4.31254,43200
1994-12-14,4.06269,4.06269,4.06269,4.06269,43200
1995-01-09,3.7175,3.7175,3.7175,3.7175
1995-01-16,4.46015,4.46015,4.46015,4.46015,43200
1995-02-02,5.14736,5.14736,5.14736,5.14736,43200
1995-02-03,5.2099,5.2099,5.2099,5.2099,187200
1995-02-06,5.29005,5.29005,5.29005,5.29005,374400
1995-02-07,5.27267,5.27267,5.245,5.24992,331200
1995-02-10,5.41492,5.41492,5.41492,5.41492,86401
1995-02-13,5.41492,5.41492,5.41492,5.41492,43200
1995-02-14,5.54001,5.54001,5.54001,5.54001,43200
1995-02-15,5.66498,5.73256,5.66498,5.70992,331200
1995-02-16,5.83501,5.83501,5.72753,5.72753,432001
1995-02-17,5.70992,5.95988,5.70992,5.92008,331200
1995-02-21,5.96502,5.96502,5.96502,5.96502,96000
1995-02-22,5.49999,5.49999,5.49999,5.49999,43200
1995-02-23,5.41492,5.41492,5.2099,5.2099,230400
1995-02-24,5.33499,5.41492,5.33499,5.41492,187200
1995-02-27,5.37501,5.37501,5.37501,5.37501,86401
1995-02-28,5.45997,5.52251,5.45997,5.52251,86401
1995-03-03,5.41492,5.41492,5.41492,5.41492,43200
1995-03-08,4.98247,4.98247,4.97755,4.97755,187200
1995-03-09,5.06251,5.08996,4.99997,5.08996,432001
1995-03-10,5.2274,5.2274,5.16497,5.16497,230400
1995-03-14,5.33499,5.33499,5.33499,5.33499,43200
1995-03-16,5.41492,5.41492,5.35249,5.35249,187200
1995-03-23,4.99997,4.99997,4.99997,4.99997,43200
1995-03-27,4.99997,4.99997,4.99997,4.99997,43200
1995-04-06,4.99997,4.99997,4.99997,4.99997,144000
1995-04-26,5.77269,5.77269,5.77269,5.77269,43200
1995-04-28,5.83501,5.83501,5.83501,5.83501,43200
1995-05-05,6.16511,6.16511,6.16511,6.16511,144000
1995-05-09,6.14751,6.18753,6.14751,6.18753,331200
1995-05-10,6.19748,6.43748,6.19748,6.43748,287999
1995-05-11,6.41496,6.41496,6.41496,6.41496,43200
1995-05-16,6.70001,6.75009,6.66502,6.66502,230400
1995-05-17,6.85243,6.85243,6.85243,6.85243,43200
1995-05-18,7.00004,7.07997,7.00004,7.06248,432001
1995-05-22,6.87496,6.87496,6.87496,6.87496,43200
1995-05-26,7.02257,7.02257,7.02257,7.02257,187200
1995-05-29,6.96003,6.96003,6.96003,6.96003,86401
1995-05-31,7.37509,7.37509,7.37509,7.37509,43200
1995-06-06,7.50006,7.50006,7.50006,7.50006,86401
1995-06-07,7.12491,7.12491,7.12491,7.12491,43200
1995-06-08,7.085,7.085,7.04006,7.04006,187200
1995-06-09,7.14755,7.14755,7.12491,7.12491,187200
1995-06-13,6.89748,6.89748,6.89748,6.89748,86401
1995-06-14,6.97741,6.97741,6.97741,6.97741,187200
1995-06-19,7.16504,7.16504,7.16504,7.16504,43200
1995-06-21,7.18756,7.46004,7.18756,7.46004,287999
1995-06-22,7.70989,7.75002,7.70989,7.75002,86401
1995-06-23,7.81256,7.91239,7.70989,7.70989,230400
1995-06-26,7.81256,7.81256,7.81256,7.81256,43200
1995-06-28,7.53997,7.53997,7.53997,7.53997,43200
1995-06-29,7.72749,7.72749,7.72749,7.72749,43200
1995-07-03,7.64756,7.64756,7.64756,7.64756,43200
1995-07-04,7.70989,7.70989,7.70989,7.70989,43200
1995-07-10,7.77243,7.77243,7.77243,7.77243,43200
1995-07-11,8.02239,8.16497,8.02239,8.16497,287999
1995-07-19,8.62497,8.75498,8.41492,8.41492,806401
1995-07-20,8.25015,8.31258,8.16497,8.28995,619199
1995-07-21,8.27245,8.37501,8.27245,8.37501,432001
1995-07-25,8.69998,8.69998,8.5399,8.5399,374400
1995-07-26,8.5399,8.5399,8.46008,8.5399,331200
1995-07-27,8.47747,8.5399,8.46008,8.5399,287999
1995-07-28,8.75006,8.87503,8.68751,8.68751,187200
1995-07-31,8.68751,9.46012,8.68751,9.35253,432001
1995-08-01,9.33492,10.08555,8.87503,9.28998,2102400
1995-08-02,9.37002,9.5851,9.16501,9.53764,576001
1995-08-03,9.37494,9.49992,9.33492,9.43749,220752
1995-08-04,9.43749,9.49992,9.33492,9.4775,633600
1995-08-07,9.49751,9.5851,9.39736,9.46012,278352
1995-08-08,9.53994,9.5851,9.49992,9.52255,191952
1995-08-09,9.46012,9.46012,9.37494,9.39736,129599
1995-08-10,9.33492,9.33492,9.33492,9.33492,4752
1995-08-11,9.25259,9.53994,9.24996,9.24996,81503
1995-08-14,8.91494,8.9601,8.75006,8.86738,590401
