Date,Open,High,Low,Close,Volume
1991-04-05,11.47019,11.64975,11.45035,11.54849,525000
1991-04-08,11.50046,11.54849,11.40024,11.47019,195000
1991-04-09,11.54849,11.57981,11.31986,11.35013,270000
1991-04-10,11.25095,11.27914,11.12985,11.2687,170000
1991-04-11,11.21963,11.47019,11.21963,11.45035,275001
1991-04-12,11.45035,11.68107,11.45035,11.54849,234999
1991-04-15,11.63096,11.69986,11.59964,11.64975,204999
1991-04-16,11.63096,11.63096,11.53074,11.53074,185001
1991-04-17,11.69986,11.7197,11.56937,11.63096,204999
1991-04-18,11.64975,11.68107,11.30002,11.31986,99999
1991-04-19,11.25095,11.25095,11.20084,11.20084,59999
1991-04-22,11.0004,11.09958,10.95029,10.95029,95001
1991-04-23,10.93045,11.15073,10.93045,11.15073,185001
1991-04-24,11.17996,11.47019,11.17996,11.40024,550000
1991-04-25,11.50046,11.68107,11.50046,11.54849,649999
1991-04-26,11.59964,11.74893,11.59964,11.64975,500001
1991-04-29,11.74893,11.8502,11.54849,11.59964,215002
1991-04-30,11.53074,11.54849,11.37936,11.47019,130000
1991-05-02,11.50046,11.59964,11.45035,11.56937,150001
1991-05-03,11.56937,11.64975,11.53074,11.55893,155000
1991-05-06,11.54849,11.56937,11.50046,11.50046,125000
1991-05-07,11.56937,11.59025,11.40024,11.40024,110000
1991-05-08,11.37936,11.37936,11.20084,11.21963,90000
1991-05-10,11.31986,11.35013,11.30002,11.31986,35000
1991-05-13,11.09958,11.17996,11.04947,11.15073,110000
1991-05-14,11.15073,11.15073,11.01084,11.03172,40000
1991-05-15,10.97012,11.09958,10.95029,11.05886,70000
1991-05-16,11.04947,11.0693,10.97012,11.04947,120001
1991-05-17,11.04947,11.04947,11.0004,11.0004,45000
1991-05-21,11.0004,11.0693,11.0004,11.0693,70000
1991-05-22,11.17996,11.25095,11.14029,11.15073,155000
1991-05-23,11.20084,11.35013,11.17996,11.25095,234999
1991-05-24,11.25095,11.43052,11.20084,11.40024,324999
1991-05-27,11.43052,11.45035,11.20084,11.21024,175000
1991-05-28,11.25095,11.25095,10.8793,11.0693,165000
1991-05-29,11.15073,11.17996,10.89913,10.93045,110000
1991-05-31,10.97012,11.0693,10.97012,11.0004,65000
1991-06-03,11.04947,11.04947,10.97012,11.03172,70000
1991-06-04,10.97012,11.25095,10.97012,11.15073,275001
1991-06-05,11.27914,11.45035,11.27914,11.40024,445000
1991-06-06,11.37936,11.45035,11.35013,11.40024,324999
1991-06-07,11.40024,11.74893,11.40024,11.68107,545000
1991-06-10,11.63096,12.0496,11.63096,12.03081,445000
1991-06-11,12.06943,12.10075,12.00053,12.10075,440001
1991-06-12,12.09031,12.11954,11.80009,11.87943,324999
1991-06-13,11.87943,12.28032,11.87943,12.25004,974999
1991-06-14,12.34922,12.44944,12.25944,12.32103,594999
1991-06-17,12.34922,12.37949,12.0496,12.0496,370001
1991-06-18,12.0496,12.12998,11.94938,12.12998,275001
1991-06-19,11.97025,12.10075,11.94938,11.97025,340000
1991-06-20,12.00053,12.06943,11.97025,12.00053,145000
1991-06-21,12.12998,12.16026,12.09031,12.09031,200000
1991-06-24,12.12998,12.28032,12.06004,12.06004,500001
1991-06-25,12.03081,12.12998,11.94938,12.09031,215002
1991-06-26,12.12998,12.14982,11.80009,11.82097,575000
1991-06-27,11.8502,11.90031,11.59964,11.7197,165000
1991-06-28,11.64975,11.64975,11.35013,11.45035,215002
1991-07-01,11.54849,11.59964,11.45035,11.45035,200000
1991-07-02,11.50046,11.53074,11.20084,11.31046,240000
1991-07-03,11.30002,11.47019,11.27914,11.40024,300000
1991-07-04,11.43052,11.54849,11.43052,11.54849,130000
1991-07-05,11.54849,11.56937,11.45035,11.45035,120001
1991-07-08,11.43052,11.43052,11.37936,11.37936,65000
1991-07-09,11.47019,11.54014,11.47019,11.53074,200000
1991-07-10,11.64975,11.64975,11.56937,11.62052,155000
1991-07-11,11.59025,11.62052,11.54849,11.59964,80000
1991-07-12,11.59964,11.63096,11.56937,11.56937,105000
1991-07-15,11.68107,11.69047,11.56937,11.59964,135000
1991-07-16,11.59964,11.59964,11.47019,11.47019,80000
1991-07-17,11.43052,11.45035,11.31986,11.35013,80000
1991-07-18,11.30002,11.30002,11.30002,11.30002,25000
1991-07-19,11.37936,11.37936,11.30002,11.30002,120001
1991-07-22,11.21963,11.30002,11.20084,11.30002,75000
1991-07-23,11.31986,11.31986,11.27914,11.27914,140000
1991-07-24,11.21963,11.21963,11.17996,11.17996,59999
1991-07-25,11.17996,11.17996,11.08914,11.12046,105000
1991-07-26,11.12985,11.12985,11.03172,11.05886,50001
1991-07-29,11.0004,11.12985,11.0004,11.12046,135000
1991-07-30,11.20084,11.31046,11.20084,11.31046,345000
1991-07-31,11.31986,11.35013,11.28958,11.28958,145000
1991-08-01,11.31986,11.35013,11.30002,11.31046,135000
1991-08-02,11.25095,11.30002,11.20084,11.30002,105000
1991-08-05,11.30002,11.30002,11.23007,11.23007,75000
1991-08-06,11.24051,11.24051,11.12985,11.14029,99999
1991-08-07,11.20084,11.21963,11.17996,11.21024,125000
1991-08-08,11.21963,11.27914,11.20084,11.23007,215002
1991-08-09,11.1904,11.30002,11.1904,11.27914,220000
1991-08-12,11.20084,11.28958,11.20084,11.28958,160000
1991-08-13,11.35013,11.63096,11.35013,11.63096,775000
1991-08-14,11.68107,11.68107,11.54849,11.54849,485001
1991-08-15,11.56937,11.59964,11.53074,11.53074,155000
1991-08-16,11.53074,11.74893,11.47019,11.73954,415000
1991-08-19,10.79996,10.79996,10.32077,10.52956,615000
1991-08-20,10.60056,10.82083,10.60056,10.74984,554999
1991-08-21,10.85007,11.50046,10.85007,11.37936,1104999
1991-08-22,11.54849,11.64975,11.47019,11.50046,355000
1991-08-23,11.47019,11.8502,11.47019,11.8502,600000
1991-08-26,11.80009,11.97025,11.80009,11.87943,554999
1991-08-27,11.94938,12.0402,11.80009,11.82097,315001
1991-08-28,11.8502,11.8502,11.78025,11.78025,150001
1991-08-29,11.90031,11.92954,11.7197,11.7197,165000
1991-08-30,11.80009,11.8502,11.78025,11.80009,95001
1991-09-02,11.90031,11.93894,11.8502,11.8502,105000
1991-09-03,11.9097,11.94938,11.87943,11.92954,140000
1991-09-04,11.82097,11.8502,11.80009,11.80009,110000
1991-09-05,11.78965,11.94938,11.69986,11.90031,175000
1991-09-06,11.94938,12.12998,11.94938,12.00053,965000
1991-09-09,12.00053,12.11119,11.94938,11.99009,410001
1991-09-10,11.94938,12.0496,11.8502,11.95982,305001
1991-09-11,11.95982,12.06943,11.95982,12.02037,180000
1991-09-12,12.10075,12.3012,12.06943,12.25944,815000
1991-09-13,12.34922,12.35966,12.20097,12.20097,300000
1991-09-16,12.19053,12.20097,12.0496,12.09031,365000
1991-09-17,12.14982,12.18009,12.00053,12.00053,350001
1991-09-18,12.00053,12.03081,11.7197,11.73954,324999
1991-09-19,11.78025,11.80009,11.64975,11.68107,275001
1991-09-20,11.68107,11.68107,11.59964,11.64975,135000
1991-09-23,11.61008,11.6414,11.53074,11.63096,160000
1991-09-24,11.64975,11.74893,11.61008,11.70926,185001
1991-09-25,11.78025,11.78025,11.64975,11.66019,280000
1991-09-26,11.63096,11.64975,11.45035,11.53074,225000
1991-09-27,11.50986,11.50986,11.36057,11.50046,445000
1991-09-30,11.50046,11.50046,11.40024,11.40024,99999
1991-10-01,11.50046,11.54014,11.44096,11.44096,99999
1991-10-02,11.45975,11.47019,11.37936,11.43052,140000
1991-10-04,11.35013,11.37936,11.34074,11.36892,140000
1991-10-07,11.30002,11.37936,11.12985,11.15073,180000
1991-10-08,11.27914,11.27914,11.09958,11.17996,135000
1991-10-09,11.20084,11.20084,10.95029,11.0004,399999
1991-10-10,10.8793,10.8793,10.71957,10.79996,615000
1991-10-11,10.89913,10.89913,10.69973,10.76028,240000
1991-10-14,10.69973,10.79056,10.69973,10.79056,160000
1991-10-15,10.89913,10.93045,10.86051,10.93045,180000
1991-10-16,10.97012,10.97012,10.78012,10.78012,225000
1991-10-17,10.79996,10.82083,10.60056,10.60056,294999
1991-10-18,10.65067,10.65067,10.40011,10.52956,575000
1991-10-21,10.52956,10.57028,10.42934,10.52956,315001
1991-10-22,10.52956,10.60056,10.48989,10.57968,210001
1991-10-23,10.60056,10.74984,10.60056,10.6799,280000
1991-10-24,10.74984,10.74984,10.52956,10.52956,350001
1991-10-25,10.52956,10.57028,10.45022,10.55044,234999
1991-10-28,10.52956,10.64023,10.52956,10.64023,175000
1991-10-29,10.69973,10.69973,10.66946,10.66946,180000
1991-10-30,10.69973,10.70913,10.47006,10.55044,594999
1991-10-31,10.55044,10.62979,10.50033,10.55044,440001
1991-11-01,10.52956,10.55044,10.47006,10.47006,150001
1991-11-04,10.47006,10.47006,10.31033,10.3406,135000
1991-11-05,10.35104,10.47006,10.32077,10.43978,155000
1991-11-06,10.47006,10.47006,10.32077,10.35104,165000
1991-11-07,10.37923,10.37923,10.2195,10.32077,315001
1991-11-08,10.35104,10.45022,10.35104,10.45022,189999
1991-11-11,10.45022,10.45022,10.28945,10.32077,240000
1991-11-12,10.40011,10.45022,10.31033,10.31033,275001
1991-11-13,10.37923,10.40011,10.19862,10.2195,275001
1991-11-14,10.27901,10.57028,10.27066,10.55044,635000
1991-11-15,10.55044,10.60995,10.48989,10.50033,365000
1991-11-18,10.09945,10.29989,10.04933,10.29989,320000
1991-11-19,10.35104,10.40011,10.1506,10.1506,405001
1991-11-21,10.23934,10.27901,10.18192,10.2195,150001
1991-11-22,10.24978,10.24978,10.16104,10.16104,95001
1991-11-25,10.10989,10.10989,9.97104,9.99922,265000
1991-11-26,10.07021,10.09005,9.99922,10.0201,280000
1991-11-27,10.04933,10.04933,9.71965,9.75024,389999
1991-11-28,9.67998,9.67998,9.60001,9.63007,99999
1991-11-29,9.5501,9.5501,9.42994,9.5501,230000
1991-12-02,9.44999,9.60001,9.39998,9.5501,175000
1991-12-03,9.70002,9.71965,9.53006,9.5501,445000
1991-12-04,9.60001,9.70002,9.5501,9.5501,420000
1991-12-05,9.5501,9.5501,9.49999,9.5501,320000
1991-12-06,9.49999,9.57004,9.47995,9.5501,140000
1991-12-09,9.57004,9.63007,9.5501,9.5501,80000
1991-12-10,9.49999,9.53006,9.38996,9.39998,265000
1991-12-11,9.42994,9.44999,9.30999,9.44999,145000
1991-12-12,9.47003,9.49999,9.39998,9.49999,80000
1991-12-13,9.5501,9.57004,9.51002,9.5501,150001
1991-12-16,9.53006,9.53006,9.44999,9.46001,120001
1991-12-17,9.44999,9.85035,9.44999,9.71965,505000
1991-12-18,9.70002,9.97104,9.70002,9.90025,600000
1991-12-19,9.93032,9.97104,9.82979,9.87019,510000
1991-12-20,9.82979,9.88052,9.77947,9.77947,240000
1991-12-23,9.80003,9.80003,9.70002,9.75024,135000
1991-12-27,9.95016,10.0295,9.95016,9.99922,150001
1991-12-30,9.99922,10.04933,9.98043,9.99922,310000
1992-01-02,10.18192,10.18192,10.09945,10.13077,385000
1992-01-03,10.18192,10.2195,10.1506,10.18192,290000
1992-01-06,10.24978,10.37923,10.19862,10.2195,399999
